"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"225","6258","20221012194000","120","3","屏東縣","恆春鎮","120.745","21.945","234"
"27","6267","20221012194000","174","0","屏東縣","恆春鎮","120.790","21.945","31"
"299","9415","20221012194000","67","3","屏東縣","恆春鎮","120.715","21.970","257"
"84","9416","20221012194000","42","3","屏東縣","恆春鎮","120.845","21.970","71"
"268","15716","20221012194000","181","2","臺東縣","蘭嶼鄉","121.535","22.025","285"
"32","15719","20221012194000","350","0","臺東縣","蘭嶼鄉","121.550","22.025","38"
"41","18068","20221012194000","56","0","屏東縣","車城鄉","120.695","22.045","77"
"231","20191","20221012194000","615","0","臺東縣","蘭嶼鄉","121.570","22.065","250"
"14","40369","20221012194000","87","0","屏東縣","枋山鄉","120.660","22.245","27"
"67","46865","20221012194000","69","0","臺東縣","大武鄉","120.890","22.305","77"
"52","49782","20221012194000","161","0","屏東縣","琉球鄉","120.355","22.330","56"
"432","52213","20221012194000","292","2","屏東縣","琉球鄉","120.380","22.355","423"
"89","57589","20221012194000","19","3","屏東縣","春日鄉","120.660","22.365","68"
"73","57606","20221012194000","51","2","屏東縣","春日鄉","120.665","22.365","72"
"121","57748","20221012194000","92","2","屏東縣","春日鄉","120.750","22.405","128"
"262","57758","20221012194000","181","2","屏東縣","春日鄉","120.625","22.365","287"
"26","57868","20221012194000","195","0","屏東縣","車城鄉","120.730","22.055","47"
"226","57949","20221012194000","60","3","屏東縣","車城鄉","120.715","22.050","210"
"31","57951","20221012194000","138","0","屏東縣","車城鄉","120.710","22.055","23"
"466","57952","20221012194000","213","3","屏東縣","枋寮鄉","120.595","22.375","452"
"231","57962","20221012194000","440","0","屏東縣","枋寮鄉","120.595","22.385","218"
"514","57963","20221012194000","375","2","屏東縣","枋寮鄉","120.600","22.385","530"
"17","57992","20221012194000","17","1","屏東縣","滿州鄉","120.890","22.090","12"
"36","58022","20221012194000","17","3","屏東縣","滿州鄉","120.895","22.100","45"
"22","58112","20221012194000","16","2","屏東縣","滿州鄉","120.805","22.015","21"
"116","58150","20221012194000","104","1","屏東縣","滿州鄉","120.875","22.115","139"
"91","58209","20221012194000","72","2","屏東縣","滿州鄉","120.840","21.985","83"
"50","58243","20221012194000","72","0","屏東縣","滿州鄉","120.840","22.015","51"
"235","58245","20221012194000","182","2","屏東縣","滿州鄉","120.835","22.020","251"
"108","58246","20221012194000","20","3","屏東縣","滿州鄉","120.840","22.020","68"
"78","58248","20221012194000","198","0","屏東縣","滿州鄉","120.830","22.025","174"
"283","58265","20221012194000","245","1","屏東縣","滿州鄉","120.830","21.995","267"
"67","58303","20221012194000","26","3","屏東縣","滿州鄉","120.850","22.020","50"
"53","58452","20221012194000","45","1","屏東縣","滿州鄉","120.830","22.075","60"
"35","58493","20221012194000","21","3","屏東縣","滿州鄉","120.830","22.095","36"
"17","58500","20221012194000","27","0","屏東縣","滿州鄉","120.840","22.100","11"
"251","58514","20221012194000","86","3","屏東縣","枋山鄉","120.665","22.240","227"
"108","58522","20221012194000","199","0","屏東縣","枋山鄉","120.650","22.260","122"
"105","58529","20221012194000","253","0","屏東縣","枋山鄉","120.690","22.190","97"
"58","58531","20221012194000","126","0","屏東縣","枋山鄉","120.690","22.195","59"
"34","58544","20221012194000","12","3","屏東縣","佳冬鄉","120.525","22.410","35"
"812","58554","20221012194000","545","2","屏東縣","恆春鎮","120.740","22.030","811"
"44","58568","20221012194000","175","0","屏東縣","恆春鎮","120.735","22.040","50"
"132","58585","20221012194000","72","3","屏東縣","恆春鎮","120.720","22.045","242"
"26","58609","20221012194000","319","0","屏東縣","恆春鎮","120.750","21.955","15"
"71","58614","20221012194000","424","0","屏東縣","恆春鎮","120.755","21.960","72"
"32","58615","20221012194000","16","3","屏東縣","恆春鎮","120.760","21.960","32"
"445","58618","20221012194000","473","0","屏東縣","恆春鎮","120.755","21.965","554"
"524","58656","20221012194000","217","3","屏東縣","恆春鎮","120.730","22.010","559"
"16","58662","20221012194000","11","2","屏東縣","恆春鎮","120.725","22.020","11"
"455","58663","20221012194000","374","2","屏東縣","恆春鎮","120.745","22.005","460"
"340","58680","20221012194000","181","3","屏東縣","恆春鎮","120.730","21.995","344"
"412","58691","20221012194000","173","3","屏東縣","恆春鎮","120.725","21.925","384"
"33","58698","20221012194000","11","3","屏東縣","恆春鎮","120.715","21.935","31"
"38","58707","20221012194000","22","3","屏東縣","恆春鎮","120.715","21.945","42"
"168","58723","20221012194000","180","0","屏東縣","恆春鎮","120.720","21.960","183"
"954","58725","20221012194000","1139","0","屏東縣","恆春鎮","120.740","22.010","948"
"15","58785","20221012194000","60","0","屏東縣","恆春鎮","120.720","22.040","30"
"120","58793","20221012194000","67","3","屏東縣","恆春鎮","120.695","22.020","152"
"13","58796","20221012194000","17","0","屏東縣","恆春鎮","120.710","22.020","19"
"80","58818","20221012194000","79","1","屏東縣","恆春鎮","120.850","21.905","195"
"34","58819","20221012194000","17","3","屏東縣","恆春鎮","120.855","21.905","20"
"59","58824","20221012194000","41","2","屏東縣","恆春鎮","120.850","21.910","77"
"160","58829","20221012194000","126","2","屏東縣","恆春鎮","120.850","21.915","158"
