"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"270","6258","20220922103000","200","2","屏東縣","恆春鎮","120.745","21.945","300"
"22","6267","20220922103000","135","0","屏東縣","恆春鎮","120.790","21.945","17"
"87","9415","20220922103000","57","3","屏東縣","恆春鎮","120.715","21.970","153"
"88","9416","20220922103000","91","0","屏東縣","恆春鎮","120.845","21.970","94"
"296","15716","20220922103000","223","2","臺東縣","蘭嶼鄉","121.535","22.025","247"
"274","18068","20220922103000","190","2","屏東縣","車城鄉","120.695","22.045","199"
"22","39868","20220922103000","67","0","屏東縣","牡丹鄉","120.895","22.240","19"
"166","40369","20220922103000","104","3","屏東縣","枋山鄉","120.660","22.245","188"
"20","46865","20220922103000","73","0","臺東縣","大武鄉","120.890","22.305","66"
"80","49782","20220922103000","153","0","屏東縣","琉球鄉","120.355","22.330","93"
"33","49783","20220922103000","168","0","屏東縣","琉球鄉","120.375","22.330","33"
"642","52213","20220922103000","354","3","屏東縣","琉球鄉","120.380","22.355","616"
"69","57589","20220922103000","29","3","屏東縣","春日鄉","120.660","22.365","65"
"87","57606","20220922103000","50","3","屏東縣","春日鄉","120.665","22.365","92"
"176","57748","20220922103000","126","2","屏東縣","春日鄉","120.750","22.405","135"
"243","57758","20220922103000","191","2","屏東縣","春日鄉","120.625","22.365","253"
"22","57868","20220922103000","173","0","屏東縣","車城鄉","120.730","22.055","29"
"167","57949","20220922103000","70","3","屏東縣","車城鄉","120.715","22.050","164"
"18","57951","20220922103000","114","0","屏東縣","車城鄉","120.710","22.055","16"
"449","57952","20220922103000","239","3","屏東縣","枋寮鄉","120.595","22.375","431"
"195","57962","20220922103000","381","0","屏東縣","枋寮鄉","120.595","22.385","201"
"452","57963","20220922103000","338","2","屏東縣","枋寮鄉","120.600","22.385","549"
"10","57992","20220922103000","23","0","屏東縣","滿州鄉","120.890","22.090","10"
"20","58022","20220922103000","36","0","屏東縣","滿州鄉","120.895","22.100","37"
"22","58112","20220922103000","13","3","屏東縣","滿州鄉","120.805","22.015","30"
"83","58150","20220922103000","123","0","屏東縣","滿州鄉","120.875","22.115","134"
"13","58179","20220922103000","16","0","屏東縣","滿州鄉","120.880","22.135","15"
"13","58180","20220922103000","13","1","屏東縣","滿州鄉","120.885","22.135","13"
"93","58209","20220922103000","67","2","屏東縣","滿州鄉","120.840","21.985","89"
"69","58243","20220922103000","97","0","屏東縣","滿州鄉","120.840","22.015","73"
"243","58245","20220922103000","205","1","屏東縣","滿州鄉","120.835","22.020","219"
"29","58246","20220922103000","23","2","屏東縣","滿州鄉","120.840","22.020","35"
"167","58248","20220922103000","88","3","屏東縣","滿州鄉","120.830","22.025","91"
"313","58265","20220922103000","269","1","屏東縣","滿州鄉","120.830","21.995","305"
"38","58303","20220922103000","27","2","屏東縣","滿州鄉","120.850","22.020","31"
