"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"788","6258","20220905125000","512","3","屏東縣","恆春鎮","120.745","21.945","994"
"22","6267","20220905125000","105","0","屏東縣","恆春鎮","120.790","21.945","21"
"127","9415","20220905125000","68","3","屏東縣","恆春鎮","120.715","21.970","163"
"199","9416","20220905125000","77","3","屏東縣","恆春鎮","120.845","21.970","174"
"229","15716","20220905125000","184","2","臺東縣","蘭嶼鄉","121.535","22.025","374"
"35","15719","20220905125000","353","0","臺東縣","蘭嶼鄉","121.550","22.025","51"
"364","18068","20220905125000","310","1","屏東縣","車城鄉","120.695","22.045","579"
"178","20191","20220905125000","566","0","臺東縣","蘭嶼鄉","121.570","22.065","178"
"20","39868","20220905125000","34","0","屏東縣","牡丹鄉","120.895","22.240","19"
"239","40369","20220905125000","137","3","屏東縣","枋山鄉","120.660","22.245","505"
"115","46865","20220905125000","90","2","臺東縣","大武鄉","120.890","22.305","99"
"115","49782","20220905125000","159","0","屏東縣","琉球鄉","120.355","22.330","136"
"44","49783","20220905125000","158","0","屏東縣","琉球鄉","120.375","22.330","63"
"718","52213","20220905125000","334","3","屏東縣","琉球鄉","120.380","22.355","937"
"89","57589","20220905125000","30","3","屏東縣","春日鄉","120.660","22.365","81"
"94","57606","20220905125000","40","3","屏東縣","春日鄉","120.665","22.365","89"
"109","57748","20220905125000","106","1","屏東縣","春日鄉","120.750","22.405","45"
"152","57758","20220905125000","164","0","屏東縣","春日鄉","120.625","22.365","236"
"46","57868","20220905125000","169","0","屏東縣","車城鄉","120.730","22.055","42"
"215","57949","20220905125000","90","3","屏東縣","車城鄉","120.715","22.050","330"
"38","57951","20220905125000","155","0","屏東縣","車城鄉","120.710","22.055","31"
"511","57952","20220905125000","255","3","屏東縣","枋寮鄉","120.595","22.375","484"
"230","57962","20220905125000","315","0","屏東縣","枋寮鄉","120.595","22.385","231"
"500","57963","20220905125000","368","2","屏東縣","枋寮鄉","120.600","22.385","540"
"14","57992","20220905125000","25","0","屏東縣","滿州鄉","120.890","22.090","18"
"32","58022","20220905125000","46","0","屏東縣","滿州鄉","120.895","22.100","30"
"27","58112","20220905125000","11","3","屏東縣","滿州鄉","120.805","22.015","18"
"137","58150","20220905125000","91","3","屏東縣","滿州鄉","120.875","22.115","116"
"15","58179","20220905125000","17","0","屏東縣","滿州鄉","120.880","22.135","13"
"102","58209","20220905125000","73","2","屏東縣","滿州鄉","120.840","21.985","129"
"78","58243","20220905125000","48","3","屏東縣","滿州鄉","120.840","22.015","82"
"210","58245","20220905125000","218","0","屏東縣","滿州鄉","120.835","22.020","291"
"31","58246","20220905125000","12","3","屏東縣","滿州鄉","120.840","22.020","36"
"74","58248","20220905125000","72","1","屏東縣","滿州鄉","120.830","22.025","97"
"317","58265","20220905125000","258","2","屏東縣","滿州鄉","120.830","21.995","335"
"36","58303","20220905125000","28","2","屏東縣","滿州鄉","120.850","22.020","55"
"58","58452","20220905125000","36","3","屏東縣","滿州鄉","120.830","22.075","57"
"35","58493","20220905125000","16","3","屏東縣","滿州鄉","120.830","22.095","40"
"22","58500","20220905125000","22","1","屏東縣","滿州鄉","120.840","22.100","12"
"388","58514","20220905125000","294","2","屏東縣","枋山鄉","120.665","22.240","443"
"216","58522","20220905125000","318","0","屏東縣","枋山鄉","120.650","22.260","297"
"133","58529","20220905125000","219","0","屏東縣","枋山鄉","120.690","22.190","150"
"94","58531","20220905125000","237","0","屏東縣","枋山鄉","120.690","22.195","128"
"29","58544","20220905125000","11","3","屏東縣","佳冬鄉","120.525","22.410","35"
"780","58554","20220905125000","465","3","屏東縣","恆春鎮","120.740","22.030","869"
"33","58568","20220905125000","189","0","屏東縣","恆春鎮","120.735","22.040","51"
"99","58585","20220905125000","36","3","屏東縣","恆春鎮","120.720","22.045","114"
"86","58609","20220905125000","837","0","屏東縣","恆春鎮","120.750","21.955","89"
"191","58614","20220905125000","599","0","屏東縣","恆春鎮","120.755","21.960","201"
"526","58618","20220905125000","323","3","屏東縣","恆春鎮","120.755","21.965","625"
"494","58656","20220905125000","140","3","屏東縣","恆春鎮","120.730","22.010","515"
"354","58663","20220905125000","301","1","屏東縣","恆春鎮","120.745","22.005","389"
"248","58680","20220905125000","139","3","屏東縣","恆春鎮","120.730","21.995","264"
"44","58690","20220905125000","35","2","屏東縣","恆春鎮","120.740","21.920","60"
"425","58691","20220905125000","181","3","屏東縣","恆春鎮","120.725","21.925","477"
"14","58698","20220905125000","16","0","屏東縣","恆春鎮","120.715","21.935","19"
"38","58707","20220905125000","34","1","屏東縣","恆春鎮","120.715","21.945","62"
"746","58723","20220905125000","266","3","屏東縣","恆春鎮","120.720","21.960","1066"
"1082","58725","20220905125000","1025","1","屏東縣","恆春鎮","120.740","22.010","1084"
"33","58785","20220905125000","72","0","屏東縣","恆春鎮","120.720","22.040","28"
"145","58793","20220905125000","64","3","屏東縣","恆春鎮","120.695","22.020","225"
"13","58796","20220905125000","10","2","屏東縣","恆春鎮","120.710","22.020","16"
"128","58818","20220905125000","87","2","屏東縣","恆春鎮","120.850","21.905","194"
"112","58819","20220905125000","41","3","屏東縣","恆春鎮","120.855","21.905","80"
