"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"84","6258","20221104024000","107","0","屏東縣","恆春鎮","120.745","21.945","97"
"28","6267","20221104024000","197","0","屏東縣","恆春鎮","120.790","21.945","19"
"106","9415","20221104024000","85","2","屏東縣","恆春鎮","120.715","21.970","111"
"80","9416","20221104024000","54","2","屏東縣","恆春鎮","120.845","21.970","71"
"120","15716","20221104024000","205","0","臺東縣","蘭嶼鄉","121.535","22.025","131"
"15","15719","20221104024000","316","0","臺東縣","蘭嶼鄉","121.550","22.025","19"
"39","18068","20221104024000","41","0","屏東縣","車城鄉","120.695","22.045","33"
"114","20191","20221104024000","593","0","臺東縣","蘭嶼鄉","121.570","22.065","97"
"64","46865","20221104024000","71","0","臺東縣","大武鄉","120.890","22.305","71"
"71","49782","20221104024000","178","0","屏東縣","琉球鄉","120.355","22.330","58"
"11","49783","20221104024000","150","0","屏東縣","琉球鄉","120.375","22.330","11"
"282","52213","20221104024000","269","1","屏東縣","琉球鄉","120.380","22.355","475"
"34","57589","20221104024000","18","3","屏東縣","春日鄉","120.660","22.365","35"
"74","57606","20221104024000","81","0","屏東縣","春日鄉","120.665","22.365","83"
"91","57748","20221104024000","81","1","屏東縣","春日鄉","120.750","22.405","87"
"245","57758","20221104024000","173","2","屏東縣","春日鄉","120.625","22.365","228"
"19","57868","20221104024000","233","0","屏東縣","車城鄉","120.730","22.055","14"
"118","57949","20221104024000","65","3","屏東縣","車城鄉","120.715","22.050","113"
"11","57951","20221104024000","137","0","屏東縣","車城鄉","120.710","22.055","11"
"225","57952","20221104024000","163","2","屏東縣","枋寮鄉","120.595","22.375","224"
"81","57962","20221104024000","431","0","屏東縣","枋寮鄉","120.595","22.385","80"
"373","57963","20221104024000","369","1","屏東縣","枋寮鄉","120.600","22.385","374"
"13","57992","20221104024000","18","0","屏東縣","滿州鄉","120.890","22.090","13"
"111","58150","20221104024000","90","2","屏東縣","滿州鄉","120.875","22.115","106"
"73","58209","20221104024000","90","0","屏東縣","滿州鄉","120.840","21.985","101"
"36","58243","20221104024000","39","0","屏東縣","滿州鄉","120.840","22.015","64"
"196","58245","20221104024000","225","0","屏東縣","滿州鄉","120.835","22.020","254"
"28","58246","20221104024000","17","3","屏東縣","滿州鄉","120.840","22.020","30"
"99","58248","20221104024000","130","0","屏東縣","滿州鄉","120.830","22.025","230"
"216","58265","20221104024000","240","0","屏東縣","滿州鄉","120.830","21.995","294"
"41","58303","20221104024000","26","3","屏東縣","滿州鄉","120.850","22.020","46"
"51","58452","20221104024000","48","1","屏東縣","滿州鄉","120.830","22.075","61"
"32","58493","20221104024000","22","2","屏東縣","滿州鄉","120.830","22.095","36"
"15","58500","20221104024000","24","0","屏東縣","滿州鄉","120.840","22.100","17"
"113","58514","20221104024000","66","3","屏東縣","枋山鄉","120.665","22.240","80"
"104","58522","20221104024000","136","0","屏東縣","枋山鄉","120.650","22.260","150"
"36","58529","20221104024000","241","0","屏東縣","枋山鄉","120.690","22.190","24"
"25","58531","20221104024000","106","0","屏東縣","枋山鄉","120.690","22.195","23"
"307","58554","20221104024000","595","0","屏東縣","恆春鎮","120.740","22.030","275"
"27","58568","20221104024000","127","0","屏東縣","恆春鎮","120.735","22.040","17"
"102","58585","20221104024000","70","2","屏東縣","恆春鎮","120.720","22.045","33"
"10","58609","20221104024000","56","0","屏東縣","恆春鎮","120.750","21.955","13"
"30","58614","20221104024000","425","0","屏東縣","恆春鎮","120.755","21.960","34"
"25","58615","20221104024000","22","1","屏東縣","恆春鎮","120.760","21.960","20"
"243","58618","20221104024000","564","0","屏東縣","恆春鎮","120.755","21.965","300"
"410","58656","20221104024000","246","3","屏東縣","恆春鎮","120.730","22.010","436"
"344","58663","20221104024000","398","0","屏東縣","恆春鎮","120.745","22.005","355"
"236","58680","20221104024000","241","0","屏東縣","恆春鎮","120.730","21.995","264"
"269","58691","20221104024000","207","2","屏東縣","恆春鎮","120.725","21.925","247"
"19","58698","20221104024000","19","1","屏東縣","恆春鎮","120.715","21.935","19"
"43","58707","20221104024000","33","2","屏東縣","恆春鎮","120.715","21.945","30"
"80","58723","20221104024000","171","0","屏東縣","恆春鎮","120.720","21.960","72"
"863","58725","20221104024000","1152","0","屏東縣","恆春鎮","120.740","22.010","992"
"10","58785","20221104024000","63","0","屏東縣","恆春鎮","120.720","22.040","16"
"79","58793","20221104024000","47","3","屏東縣","恆春鎮","120.695","22.020","88"
"16","58796","20221104024000","18","0","屏東縣","恆春鎮","120.710","22.020","17"
"92","58818","20221104024000","119","0","屏東縣","恆春鎮","120.850","21.905","157"
"25","58819","20221104024000","20","2","屏東縣","恆春鎮","120.855","21.905","21"
"41","58824","20221104024000","50","0","屏東縣","恆春鎮","120.850","21.910","46"
"184","58829","20221104024000","149","2","屏東縣","恆春鎮","120.850","21.915","156"
"56","58837","20221104024000","65","0","屏東縣","恆春鎮","120.830","21.925","33"
"149","58849","20221104024000","107","2","屏東縣","恆春鎮","120.825","21.935","158"
"10","58859","20221104024000","13","0","屏東縣","恆春鎮","120.840","21.940","10"
"18","58893","20221104024000","230","0","屏東縣","車城鄉","120.715","22.070","18"
"85","58924","20221104024000","54","3","屏東縣","獅子鄉","120.730","22.195","92"
"25","58958","20221104024000","116","0","屏東縣","獅子鄉","120.750","22.205","21"
"106","58971","20221104024000","82","2","屏東縣","獅子鄉","120.725","22.210","100"
"25","58997","20221104024000","13","3","屏東縣","獅子鄉","120.785","22.215","26"
"42","59115","20221104024000","451","0","屏東縣","琉球鄉","120.380","22.350","55"
"42","59117","20221104024000","354","0","屏東縣","琉球鄉","120.365","22.325","30"
"326","59120","20221104024000","286","1","屏東縣","琉球鄉","120.370","22.335","342"
"94","59149","20221104024000","120","0","屏東縣","獅子鄉","120.660","22.275","81"
"71","59469","20221104024000","75","0","屏東縣","獅子鄉","120.650","22.315","73"
"123","60023","20221104024000","130","0","屏東縣","獅子鄉","120.700","22.165","129"
"12","60065","20221104024000","66","0","屏東縣","獅子鄉","120.800","22.230","10"
"1202","60172","20221104024000","1430","0","屏東縣","琉球鄉","120.370","22.340","1394"
"37","60174","20221104024000","81","0","屏東縣","琉球鄉","120.375","22.345","34"
"83","60189","20221104024000","76","1","屏東縣","車城鄉","120.700","22.040","93"
"41","60193","20221104024000","50","0","屏東縣","車城鄉","120.700","22.050","55"
"16","60196","20221104024000","29","0","屏東縣","琉球鄉","120.365","22.340","27"
"16","60197","20221104024000","34","0","屏東縣","琉球鄉","120.365","22.345","19"
"167","60198","20221104024000","175","0","屏東縣","琉球鄉","120.370","22.350","210"
"264","60206","20221104024000","195","2","屏東縣","車城鄉","120.715","22.065","317"
"14","60213","20221104024000","172","0","屏東縣","車城鄉","120.720","22.090","14"
"42","60234","20221104024000","26","3","屏東縣","車城鄉","120.715","22.115","35"
"814","60246","20221104024000","565","2","屏東縣","琉球鄉","120.385","22.350","964"
"103","60260","20221104024000","65","3","屏東縣","車城鄉","120.740","22.085","84"
"180","60283","20221104024000","199","0","屏東縣","車城鄉","120.750","22.095","239"
"19","60314","20221104024000","182","0","屏東縣","枋寮鄉","120.555","22.390","12"
"29","60322","20221104024000","338","0","屏東縣","車城鄉","120.715","22.075","31"
"166","60328","20221104024000","145","1","屏東縣","車城鄉","120.730","22.075","173"
"13","60338","20221104024000","18","0","屏東縣","枋寮鄉","120.595","22.390","20"
"189","60350","20221104024000","171","1","屏東縣","枋寮鄉","120.590","22.405","216"
"37","60369","20221104024000","272","0","屏東縣","枋寮鄉","120.620","22.405","29"
"109","60374","20221104024000","73","2","屏東縣","枋寮鄉","120.590","22.370","106"
"153","60377","20221104024000","164","0","屏東縣","枋寮鄉","120.580","22.375","175"
"625","60401","20221104024000","707","0","屏東縣","枋寮鄉","120.575","22.405","747"
"238","60404","20221104024000","241","0","屏東縣","佳冬鄉","120.565","22.410","302"
"987","60421","20221104024000","1161","0","屏東縣","枋寮鄉","120.600","22.360","1217"
"497","60428","20221104024000","327","3","屏東縣","枋寮鄉","120.600","22.365","496"
"49","60441","20221104024000","79","0","屏東縣","枋山鄉","120.645","22.295","68"
"85","60442","20221104024000","60","2","屏東縣","獅子鄉","120.640","22.310","97"
"187","60446","20221104024000","199","0","屏東縣","枋山鄉","120.630","22.320","216"
"84","60449","20221104024000","90","0","屏東縣","枋山鄉","120.615","22.330","98"
"231","60455","20221104024000","119","3","屏東縣","枋山鄉","120.620","22.335","202"
"218","60456","20221104024000","97","3","屏東縣","枋山鄉","120.625","22.335","197"
"712","60532","20221104024000","757","0","屏東縣","恆春鎮","120.740","22.000","936"
"417","60533","20221104024000","380","1","屏東縣","恆春鎮","120.740","22.005","583"
"106","60535","20221104024000","240","0","屏東縣","恆春鎮","120.815","21.935","89"
"210","60537","20221104024000","234","0","屏東縣","恆春鎮","120.805","21.940","283"
"20","60539","20221104024000","284","0","屏東縣","恆春鎮","120.795","21.945","25"
"367","60540","20221104024000","567","0","屏東縣","恆春鎮","120.800","21.945","505"
"296","60541","20221104024000","487","0","屏東縣","恆春鎮","120.805","21.945","370"
"34","60543","20221104024000","83","0","屏東縣","恆春鎮","120.780","21.950","59"
"152","60544","20221104024000","138","1","屏東縣","恆春鎮","120.785","21.950","175"
"137","60568","20221104024000","158","0","屏東縣","恆春鎮","120.810","21.955","129"
"91","60589","20221104024000","56","3","屏東縣","恆春鎮","120.815","21.965","97"
"43","60623","20221104024000","382","0","屏東縣","恆春鎮","120.735","21.950","45"
"61","60646","20221104024000","62","0","屏東縣","恆春鎮","120.720","21.975","80"
"94","60651","20221104024000","81","1","屏東縣","恆春鎮","120.715","21.985","85"
"426","60656","20221104024000","218","3","屏東縣","恆春鎮","120.705","21.995","280"
"65","60671","20221104024000","900","0","屏東縣","恆春鎮","120.740","21.995","56"
"62","60672","20221104024000","260","0","屏東縣","恆春鎮","120.745","21.995","59"
"560","60680","20221104024000","620","0","屏東縣","恆春鎮","120.745","22.000","727"
"46","60694","20221104024000","60","0","屏東縣","恆春鎮","120.765","22.000","27"
"38","60732","20221104024000","51","0","屏東縣","牡丹鄉","120.815","22.075","42"
"37","60771","20221104024000","92","0","屏東縣","滿州鄉","120.890","22.140","38"
"13","60778","20221104024000","13","1","屏東縣","牡丹鄉","120.880","22.155","15"
"28","60784","20221104024000","24","1","屏東縣","牡丹鄉","120.880","22.160","23"
"136","60791","20221104024000","146","0","屏東縣","牡丹鄉","120.890","22.165","159"
"35","60821","20221104024000","75","0","屏東縣","牡丹鄉","120.880","22.185","49"
"43","60825","20221104024000","33","2","屏東縣","牡丹鄉","120.880","22.190","43"
"44","60827","20221104024000","59","0","屏東縣","牡丹鄉","120.885","22.190","85"
"26","60884","20221104024000","25","1","屏東縣","牡丹鄉","120.850","22.185","38"
"34","60907","20221104024000","63","0","屏東縣","牡丹鄉","120.855","22.200","102"
"14","60936","20221104024000","13","1","屏東縣","牡丹鄉","120.815","22.150","16"
"68","60994","20221104024000","57","1","屏東縣","牡丹鄉","120.835","22.175","82"
"86","61141","20221104024000","58","2","屏東縣","牡丹鄉","120.770","22.125","89"
"230","61160","20221104024000","234","0","屏東縣","牡丹鄉","120.780","22.130","263"
"16","61331","20221104024000","93","0","屏東縣","牡丹鄉","120.840","22.115","16"
"180","61332","20221104024000","180","1","屏東縣","牡丹鄉","120.845","22.115","166"
"116","61441","20221104024000","64","3","臺東縣","大武鄉","120.880","22.325","133"
"28","61469","20221104024000","176","0","臺東縣","大武鄉","120.905","22.360","27"
"14","61471","20221104024000","102","0","臺東縣","大武鄉","120.900","22.365","11"
"22","61472","20221104024000","229","0","臺東縣","大武鄉","120.905","22.365","18"
"42","61501","20221104024000","275","0","臺東縣","大武鄉","120.910","22.380","48"
"53","61562","20221104024000","317","0","臺東縣","大武鄉","120.885","22.340","49"
"128","61604","20221104024000","232","0","臺東縣","蘭嶼鄉","121.525","22.080","162"
"99","61605","20221104024000","172","0","臺東縣","蘭嶼鄉","121.530","22.080","120"
"21","61620","20221104024000","38","0","臺東縣","蘭嶼鄉","121.590","22.005","26"
"167","61703","20221104024000","202","0","臺東縣","蘭嶼鄉","121.510","22.055","127"
"76","61734","20221104024000","214","0","臺東縣","蘭嶼鄉","121.555","22.025","104"
"17","61738","20221104024000","23","0","臺東縣","蘭嶼鄉","121.535","22.030","26"
"14","61830","20221104024000","79","0","臺東縣","達仁鄉","120.885","22.285","13"
"13","61910","20221104024000","57","0","臺東縣","達仁鄉","120.870","22.290","13"
"16","61933","20221104024000","110","0","臺東縣","達仁鄉","120.885","22.295","10"
"44","62017","20221104024000","45","0","臺東縣","達仁鄉","120.855","22.320","39"
"12","62301","20221104024000","49","0","臺東縣","達仁鄉","120.860","22.380","12"
"67","62355","20221104024000","41","3","臺東縣","達仁鄉","120.855","22.390","66"
"40","62479","20221104024000","29","2","臺東縣","達仁鄉","120.855","22.275","48"
"74","62493","20221104024000","37","3","臺東縣","達仁鄉","120.875","22.290","69"
"30","63917","20221104024000","21","2","臺東縣","大武鄉","120.930","22.415","26"
"45","65292","20221104024000","234","0","屏東縣","東港鎮","120.480","22.430","42"
"17","72794","20221104024000","32","0","高雄市","小港區","120.360","22.510","15"
"153","80997","20221104024000","167","0","屏東縣","新埤鄉","120.560","22.475","193"
"351","81045","20221104024000","411","0","屏東縣","新埤鄉","120.545","22.465","433"
"134","81049","20221104024000","87","3","屏東縣","新埤鄉","120.565","22.465","139"
"10","81063","20221104024000","13","0","屏東縣","新埤鄉","120.610","22.450","12"
"111","81079","20221104024000","124","0","屏東縣","新埤鄉","120.610","22.460","127"
"567","81134","20221104024000","541","1","屏東縣","新埤鄉","120.580","22.505","571"
"196","81174","20221104024000","221","0","屏東縣","新埤鄉","120.615","22.470","239"
"53","81486","20221104024000","60","0","屏東縣","春日鄉","120.630","22.425","60"
"125","81488","20221104024000","85","2","屏東縣","春日鄉","120.640","22.425","150"
"541","81506","20221104024000","427","2","屏東縣","新園鄉","120.435","22.500","644"
"57","81517","20221104024000","59","0","屏東縣","新園鄉","120.440","22.510","80"
"394","81529","20221104024000","511","0","屏東縣","萬巒鄉","120.610","22.590","364"
"737","81547","20221104024000","1340","0","屏東縣","林邊鄉","120.515","22.435","807"
"415","81552","20221104024000","346","1","屏東縣","林邊鄉","120.520","22.430","501"
"14","81557","20221104024000","13","1","屏東縣","林邊鄉","120.490","22.430","16"
"44","81560","20221104024000","30","2","屏東縣","東港鎮","120.495","22.460","48"
"197","81569","20221104024000","268","0","屏東縣","東港鎮","120.455","22.460","256"
"22","81573","20221104024000","28","0","屏東縣","東港鎮","120.465","22.440","24"
"47","81584","20221104024000","47","1","屏東縣","東港鎮","120.455","22.450","48"
"54","81816","20221104024000","57","0","屏東縣","來義鄉","120.680","22.525","60"
"59","81919","20221104024000","59","1","屏東縣","來義鄉","120.640","22.435","76"
"75","82042","20221104024000","70","1","屏東縣","來義鄉","120.635","22.525","74"
"38","82186","20221104024000","39","0","屏東縣","來義鄉","120.665","22.560","48"
"20","82194","20221104024000","375","0","屏東縣","佳冬鄉","120.550","22.415","20"
