"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"478","6258","20220907113000","245","3","屏東縣","恆春鎮","120.745","21.945","59"
"25","6267","20220907113000","123","0","屏東縣","恆春鎮","120.790","21.945","11"
"149","9415","20220907113000","61","3","屏東縣","恆春鎮","120.715","21.970","110"
"166","9416","20220907113000","73","3","屏東縣","恆春鎮","120.845","21.970","114"
"330","15716","20220907113000","218","3","臺東縣","蘭嶼鄉","121.535","22.025","340"
"44","15719","20220907113000","282","0","臺東縣","蘭嶼鄉","121.550","22.025","54"
"185","18068","20220907113000","187","0","屏東縣","車城鄉","120.695","22.045","168"
"177","20191","20220907113000","540","0","臺東縣","蘭嶼鄉","121.570","22.065","227"
"16","39868","20220907113000","35","0","屏東縣","牡丹鄉","120.895","22.240","20"
"238","40369","20220907113000","117","3","屏東縣","枋山鄉","120.660","22.245","164"
"78","46865","20220907113000","74","1","臺東縣","大武鄉","120.890","22.305","80"
"125","49782","20220907113000","186","0","屏東縣","琉球鄉","120.355","22.330","127"
"62","49783","20220907113000","175","0","屏東縣","琉球鄉","120.375","22.330","63"
"632","52213","20220907113000","365","3","屏東縣","琉球鄉","120.380","22.355","672"
"85","57589","20220907113000","29","3","屏東縣","春日鄉","120.660","22.365","52"
"80","57606","20220907113000","52","3","屏東縣","春日鄉","120.665","22.365","82"
"133","57748","20220907113000","148","0","屏東縣","春日鄉","120.750","22.405","189"
"229","57758","20220907113000","191","1","屏東縣","春日鄉","120.625","22.365","258"
"42","57868","20220907113000","177","0","屏東縣","車城鄉","120.730","22.055","48"
"266","57949","20220907113000","71","3","屏東縣","車城鄉","120.715","22.050","156"
"30","57951","20220907113000","122","0","屏東縣","車城鄉","120.710","22.055","29"
"433","57952","20220907113000","294","2","屏東縣","枋寮鄉","120.595","22.375","451"
"201","57962","20220907113000","402","0","屏東縣","枋寮鄉","120.595","22.385","210"
"487","57963","20220907113000","339","2","屏東縣","枋寮鄉","120.600","22.385","548"
"11","57992","20220907113000","17","0","屏東縣","滿州鄉","120.890","22.090","11"
"35","58022","20220907113000","40","0","屏東縣","滿州鄉","120.895","22.100","29"
"17","58112","20220907113000","16","1","屏東縣","滿州鄉","120.805","22.015","14"
"92","58150","20220907113000","87","1","屏東縣","滿州鄉","120.875","22.115","127"
"10","58179","20220907113000","13","0","屏東縣","滿州鄉","120.880","22.135","18"
"107","58209","20220907113000","86","2","屏東縣","滿州鄉","120.840","21.985","107"
"61","58243","20220907113000","69","0","屏東縣","滿州鄉","120.840","22.015","85"
"233","58245","20220907113000","214","1","屏東縣","滿州鄉","120.835","22.020","233"
"35","58246","20220907113000","14","3","屏東縣","滿州鄉","120.840","22.020","32"
"80","58248","20220907113000","74","1","屏東縣","滿州鄉","120.830","22.025","77"
"312","58265","20220907113000","250","2","屏東縣","滿州鄉","120.830","21.995","315"
"39","58303","20220907113000","17","3","屏東縣","滿州鄉","120.850","22.020","28"
"52","58452","20220907113000","40","2","屏東縣","滿州鄉","120.830","22.075","46"
"41","58493","20220907113000","21","3","屏東縣","滿州鄉","120.830","22.095","27"
"17","58500","20220907113000","28","0","屏東縣","滿州鄉","120.840","22.100","14"
"341","58514","20220907113000","181","3","屏東縣","枋山鄉","120.665","22.240","266"
"182","58522","20220907113000","307","0","屏東縣","枋山鄉","120.650","22.260","207"
"136","58529","20220907113000","265","0","屏東縣","枋山鄉","120.690","22.190","137"
"92","58531","20220907113000","208","0","屏東縣","枋山鄉","120.690","22.195","72"
"29","58544","20220907113000","10","3","屏東縣","佳冬鄉","120.525","22.410","31"
"976","58554","20220907113000","522","3","屏東縣","恆春鎮","120.740","22.030","668"
