"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"1562","6258","20220710123000","943","3","屏東縣","恆春鎮","120.745","21.945","1059"
"16","6267","20220710123000","174","0","屏東縣","恆春鎮","120.790","21.945","23"
"229","9415","20220710123000","116","3","屏東縣","恆春鎮","120.715","21.970","161"
"256","9416","20220710123000","146","3","屏東縣","恆春鎮","120.845","21.970","192"
"400","15716","20220710123000","209","3","臺東縣","蘭嶼鄉","121.535","22.025","292"
"61","15719","20220710123000","411","0","臺東縣","蘭嶼鄉","121.550","22.025","53"
"784","18068","20220710123000","646","2","屏東縣","車城鄉","120.695","22.045","880"
"259","20191","20220710123000","662","0","臺東縣","蘭嶼鄉","121.570","22.065","214"
"25","39868","20220710123000","54","0","屏東縣","牡丹鄉","120.895","22.240","18"
"387","40369","20220710123000","220","3","屏東縣","枋山鄉","120.660","22.245","240"
"107","46865","20220710123000","106","1","臺東縣","大武鄉","120.890","22.305","126"
"194","49782","20220710123000","289","0","屏東縣","琉球鄉","120.355","22.330","183"
"72","49783","20220710123000","203","0","屏東縣","琉球鄉","120.375","22.330","72"
"24","52212","20220710123000","13","3","屏東縣","琉球鄉","120.370","22.355","16"
"896","52213","20220710123000","542","3","屏東縣","琉球鄉","120.380","22.355","898"
"10","57554","20220710123000","32","0","屏東縣","春日鄉","120.645","22.355","10"
"128","57589","20220710123000","43","3","屏東縣","春日鄉","120.660","22.365","64"
"112","57606","20220710123000","75","2","屏東縣","春日鄉","120.665","22.365","101"
"160","57748","20220710123000","111","2","屏東縣","春日鄉","120.750","22.405","103"
"257","57758","20220710123000","199","2","屏東縣","春日鄉","120.625","22.365","253"
"43","57858","20220710123000","206","0","屏東縣","恆春鎮","120.730","21.985","45"
"47","57868","20220710123000","170","0","屏東縣","車城鄉","120.730","22.055","46"
"14","57911","20220710123000","13","1","屏東縣","車城鄉","120.775","22.070","14"
"364","57949","20220710123000","116","3","屏東縣","車城鄉","120.715","22.050","253"
"28","57951","20220710123000","217","0","屏東縣","車城鄉","120.710","22.055","14"
"629","57952","20220710123000","359","3","屏東縣","枋寮鄉","120.595","22.375","454"
"273","57962","20220710123000","412","0","屏東縣","枋寮鄉","120.595","22.385","675"
"578","57963","20220710123000","483","1","屏東縣","枋寮鄉","120.600","22.385","514"
"38","57992","20220710123000","40","0","屏東縣","滿州鄉","120.890","22.090","29"
"29","58022","20220710123000","96","0","屏東縣","滿州鄉","120.895","22.100","26"
"32","58112","20220710123000","16","3","屏東縣","滿州鄉","120.805","22.015","24"
"156","58150","20220710123000","119","2","屏東縣","滿州鄉","120.875","22.115","156"
"173","58209","20220710123000","147","1","屏東縣","滿州鄉","120.840","21.985","195"
"51","58243","20220710123000","45","1","屏東縣","滿州鄉","120.840","22.015","57"
"223","58245","20220710123000","238","0","屏東縣","滿州鄉","120.835","22.020","270"
"56","58246","20220710123000","16","3","屏東縣","滿州鄉","120.840","22.020","23"
"103","58248","20220710123000","134","0","屏東縣","滿州鄉","120.830","22.025","131"
"337","58265","20220710123000","366","0","屏東縣","滿州鄉","120.830","21.995","412"
"29","58303","20220710123000","42","0","屏東縣","滿州鄉","120.850","22.020","33"
"49","58452","20220710123000","34","2","屏東縣","滿州鄉","120.830","22.075","67"
"10","58471","20220710123000","22","0","屏東縣","滿州鄉","120.835","22.085","10"
"49","58493","20220710123000","26","3","屏東縣","滿州鄉","120.830","22.095","52"
"23","58500","20220710123000","30","0","屏東縣","滿州鄉","120.840","22.100","26"
"846","58514","20220710123000","440","3","屏東縣","枋山鄉","120.665","22.240","478"
"279","58522","20220710123000","432","0","屏東縣","枋山鄉","120.650","22.260","370"
"200","58529","20220710123000","394","0","屏東縣","枋山鄉","120.690","22.190","152"
"162","58531","20220710123000","345","0","屏東縣","枋山鄉","120.690","22.195","122"
"31","58544","20220710123000","14","3","屏東縣","佳冬鄉","120.525","22.410","29"
"706","58554","20220710123000","466","3","屏東縣","恆春鎮","120.740","22.030","580"
"44","58568","20220710123000","193","0","屏東縣","恆春鎮","120.735","22.040","40"
"79","58585","20220710123000","24","3","屏東縣","恆春鎮","120.720","22.045","63"
"16","58609","20220710123000","71","0","屏東縣","恆春鎮","120.750","21.955","19"
"133","58614","20220710123000","744","0","屏東縣","恆春鎮","120.755","21.960","121"
"17","58615","20220710123000","12","2","屏東縣","恆春鎮","120.760","21.960","19"
"559","58618","20220710123000","510","1","屏東縣","恆春鎮","120.755","21.965","698"
"593","58656","20220710123000","181","3","屏東縣","恆春鎮","120.730","22.010","478"
"463","58663","20220710123000","365","2","屏東縣","恆春鎮","120.745","22.005","353"
"263","58680","20220710123000","174","3","屏東縣","恆春鎮","120.730","21.995","228"
"83","58690","20220710123000","73","1","屏東縣","恆春鎮","120.740","21.920","69"
"763","58691","20220710123000","377","3","屏東縣","恆春鎮","120.725","21.925","556"
"24","58698","20220710123000","23","1","屏東縣","恆春鎮","120.715","21.935","27"
"129","58707","20220710123000","76","3","屏東縣","恆春鎮","120.715","21.945","82"
"1414","58723","20220710123000","495","3","屏東縣","恆春鎮","120.720","21.960","1027"
"1212","58725","20220710123000","1293","0","屏東縣","恆春鎮","120.740","22.010","1415"
"12","58785","20220710123000","89","0","屏東縣","恆春鎮","120.720","22.040","36"
"10","58792","20220710123000","57","0","屏東縣","恆春鎮","120.710","22.015","13"
"300","58793","20220710123000","119","3","屏東縣","恆春鎮","120.695","22.020","264"
"19","58796","20220710123000","18","1","屏東縣","恆春鎮","120.710","22.020","22"
"246","58818","20220710123000","177","2","屏東縣","恆春鎮","120.850","21.905","266"
"132","58819","20220710123000","90","2","屏東縣","恆春鎮","120.855","21.905","185"
"89","58824","20220710123000","112","0","屏東縣","恆春鎮","120.850","21.910","83"
"373","58829","20220710123000","233","3","屏東縣","恆春鎮","120.850","21.915","299"
"145","58837","20220710123000","116","2","屏東縣","恆春鎮","120.830","21.925","112"
"195","58849","20220710123000","97","3","屏東縣","恆春鎮","120.825","21.935","149"
"18","58859","20220710123000","10","3","屏東縣","恆春鎮","120.840","21.940","10"
"93","58893","20220710123000","728","0","屏東縣","車城鄉","120.715","22.070","100"
"398","58924","20220710123000","131","3","屏東縣","獅子鄉","120.730","22.195","318"
"45","58958","20220710123000","181","0","屏東縣","獅子鄉","120.750","22.205","42"
"387","58971","20220710123000","198","3","屏東縣","獅子鄉","120.725","22.210","248"
"52","58992","20220710123000","37","2","屏東縣","獅子鄉","120.760","22.215","49"
"149","58997","20220710123000","74","3","屏東縣","獅子鄉","120.785","22.215","160"
"56","59041","20220710123000","26","3","屏東縣","獅子鄉","120.805","22.220","27"
"20","59098","20220710123000","15","2","屏東縣","獅子鄉","120.860","22.235","11"
"228","59115","20220710123000","615","0","屏東縣","琉球鄉","120.380","22.350","179"
"85","59117","20220710123000","382","0","屏東縣","琉球鄉","120.365","22.325","142"
"768","59120","20220710123000","280","3","屏東縣","琉球鄉","120.370","22.335","496"
"262","59149","20220710123000","180","2","屏東縣","獅子鄉","120.660","22.275","179"
"20","59374","20220710123000","10","3","屏東縣","獅子鄉","120.655","22.310","20"
"97","59469","20220710123000","77","2","屏東縣","獅子鄉","120.650","22.315","101"
"14","59727","20220710123000","75","0","屏東縣","獅子鄉","120.710","22.195","17"
"225","59772","20220710123000","134","3","屏東縣","獅子鄉","120.685","22.225","214"
"27","59987","20220710123000","149","0","屏東縣","獅子鄉","120.705","22.140","38"
"657","60023","20220710123000","219","3","屏東縣","獅子鄉","120.700","22.165","549"
"37","60048","20220710123000","201","0","屏東縣","獅子鄉","120.795","22.225","45"
"59","60065","20220710123000","199","0","屏東縣","獅子鄉","120.800","22.230","36"
"297","60076","20220710123000","34","3","屏東縣","獅子鄉","120.805","22.235","138"
"67","60088","20220710123000","25","3","屏東縣","獅子鄉","120.810","22.240","48"
"46","60119","20220710123000","20","3","屏東縣","獅子鄉","120.820","22.250","22"
"2051","60172","20220710123000","2152","0","屏東縣","琉球鄉","120.370","22.340","2140"
"62","60173","20220710123000","29","3","屏東縣","琉球鄉","120.370","22.345","26"
"168","60174","20220710123000","109","3","屏東縣","琉球鄉","120.375","22.345","128"
"693","60189","20220710123000","264","3","屏東縣","車城鄉","120.700","22.040","12"
"379","60193","20220710123000","255","2","屏東縣","車城鄉","120.700","22.050","823"
"191","60196","20220710123000","126","3","屏東縣","琉球鄉","120.365","22.340","133"
"350","60198","20220710123000","296","1","屏東縣","琉球鄉","120.370","22.350","293"
"749","60206","20220710123000","517","2","屏東縣","車城鄉","120.715","22.065","930"
"76","60213","20220710123000","279","0","屏東縣","車城鄉","120.720","22.090","67"
"631","60234","20220710123000","128","3","屏東縣","車城鄉","120.715","22.115","422"
"1651","60246","20220710123000","786","3","屏東縣","琉球鄉","120.385","22.350","1494"
"167","60260","20220710123000","129","2","屏東縣","車城鄉","120.740","22.085","120"
"246","60283","20220710123000","252","0","屏東縣","車城鄉","120.750","22.095","318"
"23","60314","20220710123000","166","0","屏東縣","枋寮鄉","120.555","22.390","37"
"100","60322","20220710123000","533","0","屏東縣","車城鄉","120.715","22.075","81"
"370","60328","20220710123000","133","3","屏東縣","車城鄉","120.730","22.075","275"
"18","60338","20220710123000","17","1","屏東縣","枋寮鄉","120.595","22.390","16"
"527","60350","20220710123000","382","2","屏東縣","枋寮鄉","120.590","22.405","399"
"132","60369","20220710123000","309","0","屏東縣","枋寮鄉","120.620","22.405","115"
"174","60374","20220710123000","73","3","屏東縣","枋寮鄉","120.590","22.370","123"
"191","60377","20220710123000","216","0","屏東縣","枋寮鄉","120.580","22.375","196"
"713","60401","20220710123000","735","0","屏東縣","枋寮鄉","120.575","22.405","847"
"385","60404","20220710123000","191","3","屏東縣","佳冬鄉","120.565","22.410","512"
"1440","60421","20220710123000","1584","0","屏東縣","枋寮鄉","120.600","22.360","1682"
"683","60428","20220710123000","301","3","屏東縣","枋寮鄉","120.600","22.365","529"
"253","60441","20220710123000","318","0","屏東縣","枋山鄉","120.645","22.295","291"
"334","60442","20220710123000","192","3","屏東縣","獅子鄉","120.640","22.310","215"
"268","60446","20220710123000","365","0","屏東縣","枋山鄉","120.630","22.320","355"
"162","60449","20220710123000","170","0","屏東縣","枋山鄉","120.615","22.330","223"
"356","60455","20220710123000","159","3","屏東縣","枋山鄉","120.620","22.335","343"
"263","60456","20220710123000","76","3","屏東縣","枋山鄉","120.625","22.335","137"
"1358","60532","20220710123000","791","3","屏東縣","恆春鎮","120.740","22.000","1555"
"530","60533","20220710123000","355","2","屏東縣","恆春鎮","120.740","22.005","654"
"136","60535","20220710123000","311","0","屏東縣","恆春鎮","120.815","21.935","156"
"155","60537","20220710123000","154","1","屏東縣","恆春鎮","120.805","21.940","199"
"37","60539","20220710123000","232","0","屏東縣","恆春鎮","120.795","21.945","40"
"446","60540","20220710123000","541","0","屏東縣","恆春鎮","120.800","21.945","512"
"326","60541","20220710123000","323","1","屏東縣","恆春鎮","120.805","21.945","328"
"189","60543","20220710123000","149","2","屏東縣","恆春鎮","120.780","21.950","192"
"202","60544","20220710123000","93","3","屏東縣","恆春鎮","120.785","21.950","238"
"324","60568","20220710123000","243","2","屏東縣","恆春鎮","120.810","21.955","201"
"441","60589","20220710123000","218","3","屏東縣","恆春鎮","120.815","21.965","238"
"230","60623","20220710123000","710","0","屏東縣","恆春鎮","120.735","21.950","181"
"244","60646","20220710123000","266","0","屏東縣","恆春鎮","120.720","21.975","168"
"167","60651","20220710123000","169","0","屏東縣","恆春鎮","120.715","21.985","149"
"713","60656","20220710123000","379","3","屏東縣","恆春鎮","120.705","21.995","592"
"774","60671","20220710123000","1067","0","屏東縣","恆春鎮","120.740","21.995","956"
"703","60672","20220710123000","276","3","屏東縣","恆春鎮","120.745","21.995","661"
"674","60680","20220710123000","601","1","屏東縣","恆春鎮","120.745","22.000","679"
"70","60694","20220710123000","96","0","屏東縣","恆春鎮","120.765","22.000","51"
"42","60732","20220710123000","92","0","屏東縣","牡丹鄉","120.815","22.075","73"
"90","60771","20220710123000","69","2","屏東縣","滿州鄉","120.890","22.140","86"
"11","60778","20220710123000","12","0","屏東縣","牡丹鄉","120.880","22.155","11"
"31","60791","20220710123000","26","1","屏東縣","牡丹鄉","120.890","22.165","115"
"40","60821","20220710123000","94","0","屏東縣","牡丹鄉","120.880","22.185","81"
"35","60825","20220710123000","17","3","屏東縣","牡丹鄉","120.880","22.190","51"
"186","60827","20220710123000","68","3","屏東縣","牡丹鄉","120.885","22.190","108"
"20","60836","20220710123000","43","0","屏東縣","牡丹鄉","120.890","22.200","30"
"97","60884","20220710123000","30","3","屏東縣","牡丹鄉","120.850","22.185","47"
"107","60907","20220710123000","198","0","屏東縣","牡丹鄉","120.855","22.200","154"
"12","60914","20220710123000","27","0","屏東縣","牡丹鄉","120.860","22.205","14"
"47","60936","20220710123000","36","2","屏東縣","牡丹鄉","120.815","22.150","35"
"72","60994","20220710123000","55","2","屏東縣","牡丹鄉","120.835","22.175","86"
"78","61141","20220710123000","55","2","屏東縣","牡丹鄉","120.770","22.125","92"
"290","61160","20220710123000","270","1","屏東縣","牡丹鄉","120.780","22.130","275"
"22","61331","20220710123000","136","0","屏東縣","牡丹鄉","120.840","22.115","32"
"188","61332","20220710123000","218","0","屏東縣","牡丹鄉","120.845","22.115","182"
"312","61441","20220710123000","115","3","臺東縣","大武鄉","120.880","22.325","206"
"16","61446","20220710123000","19","0","臺東縣","大武鄉","120.890","22.325","14"
"104","61469","20220710123000","236","0","臺東縣","大武鄉","120.905","22.360","84"
"25","61471","20220710123000","84","0","臺東縣","大武鄉","120.900","22.365","31"
"496","61472","20220710123000","305","3","臺東縣","大武鄉","120.905","22.365","491"
"396","61501","20220710123000","384","1","臺東縣","大武鄉","120.910","22.380","390"
"167","61562","20220710123000","422","0","臺東縣","大武鄉","120.885","22.340","166"
"276","61604","20220710123000","214","2","臺東縣","蘭嶼鄉","121.525","22.080","286"
"321","61605","20220710123000","218","2","臺東縣","蘭嶼鄉","121.530","22.080","354"
"82","61620","20220710123000","147","0","臺東縣","蘭嶼鄉","121.590","22.005","80"
"326","61703","20220710123000","314","1","臺東縣","蘭嶼鄉","121.510","22.055","275"
"285","61734","20220710123000","301","0","臺東縣","蘭嶼鄉","121.555","22.025","221"
"83","61738","20220710123000","53","3","臺東縣","蘭嶼鄉","121.535","22.030","65"
"30","61830","20220710123000","141","0","臺東縣","達仁鄉","120.885","22.285","26"
"147","61900","20220710123000","22","3","臺東縣","達仁鄉","120.820","22.290","110"
"15","61910","20220710123000","61","0","臺東縣","達仁鄉","120.870","22.290","12"
"308","61933","20220710123000","132","3","臺東縣","達仁鄉","120.885","22.295","324"
"91","62017","20220710123000","70","2","臺東縣","達仁鄉","120.855","22.320","68"
"13","62278","20220710123000","15","0","臺東縣","大武鄉","120.880","22.375","23"
"63","62301","20220710123000","47","2","臺東縣","達仁鄉","120.860","22.380","67"
"65","62355","20220710123000","40","3","臺東縣","達仁鄉","120.855","22.390","68"
"16","62440","20220710123000","14","1","臺東縣","達仁鄉","120.835","22.245","20"
"58","62465","20220710123000","20","3","臺東縣","達仁鄉","120.840","22.265","25"
