"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"350","6258","20220613170000","241","2","屏東縣","恆春鎮","120.745","21.945","277"
"16","6267","20220613170000","140","0","屏東縣","恆春鎮","120.790","21.945","16"
"136","9415","20220613170000","70","3","屏東縣","恆春鎮","120.715","21.970","106"
"129","9416","20220613170000","87","2","屏東縣","恆春鎮","120.845","21.970","122"
"261","15716","20220613170000","209","2","臺東縣","蘭嶼鄉","121.535","22.025","253"
"37","15719","20220613170000","297","0","臺東縣","蘭嶼鄉","121.550","22.025","30"
"136","18068","20220613170000","165","0","屏東縣","車城鄉","120.695","22.045","149"
"222","20191","20220613170000","621","0","臺東縣","蘭嶼鄉","121.570","22.065","222"
"11","39868","20220613170000","12","0","屏東縣","牡丹鄉","120.895","22.240","11"
"174","40369","20220613170000","96","3","屏東縣","枋山鄉","120.660","22.245","147"
"69","46865","20220613170000","74","0","臺東縣","大武鄉","120.890","22.305","71"
"179","49782","20220613170000","181","0","屏東縣","琉球鄉","120.355","22.330","171"
"49","49783","20220613170000","200","0","屏東縣","琉球鄉","120.375","22.330","47"
"519","52213","20220613170000","339","3","屏東縣","琉球鄉","120.380","22.355","510"
"36","57554","20220613170000","25","2","屏東縣","春日鄉","120.645","22.355","26"
"56","57589","20220613170000","33","3","屏東縣","春日鄉","120.660","22.365","45"
"67","57606","20220613170000","41","3","屏東縣","春日鄉","120.665","22.365","84"
"143","57748","20220613170000","121","1","屏東縣","春日鄉","120.750","22.405","114"
"241","57758","20220613170000","186","2","屏東縣","春日鄉","120.625","22.365","236"
"29","57858","20220613170000","146","0","屏東縣","恆春鎮","120.730","21.985","45"
"41","57868","20220613170000","177","0","屏東縣","車城鄉","120.730","22.055","40"
"157","57949","20220613170000","78","3","屏東縣","車城鄉","120.715","22.050","143"
"25","57951","20220613170000","132","0","屏東縣","車城鄉","120.710","22.055","18"
"398","57952","20220613170000","265","3","屏東縣","枋寮鄉","120.595","22.375","371"
"740","57962","20220613170000","383","3","屏東縣","枋寮鄉","120.595","22.385","757"
"358","57963","20220613170000","348","1","屏東縣","枋寮鄉","120.600","22.385","325"
"23","57992","20220613170000","22","1","屏東縣","滿州鄉","120.890","22.090","19"
"33","58022","20220613170000","27","2","屏東縣","滿州鄉","120.895","22.100","26"
"20","58112","20220613170000","16","2","屏東縣","滿州鄉","120.805","22.015","20"
"127","58150","20220613170000","95","2","屏東縣","滿州鄉","120.875","22.115","117"
"10","58179","20220613170000","17","0","屏東縣","滿州鄉","120.880","22.135","13"
"133","58209","20220613170000","96","2","屏東縣","滿州鄉","120.840","21.985","124"
"71","58243","20220613170000","63","1","屏東縣","滿州鄉","120.840","22.015","66"
"242","58245","20220613170000","206","1","屏東縣","滿州鄉","120.835","22.020","238"
"37","58246","20220613170000","13","3","屏東縣","滿州鄉","120.840","22.020","33"
"98","58248","20220613170000","101","0","屏東縣","滿州鄉","120.830","22.025","104"
"283","58265","20220613170000","253","1","屏東縣","滿州鄉","120.830","21.995","324"
"53","58303","20220613170000","17","3","屏東縣","滿州鄉","120.850","22.020","38"
"85","58452","20220613170000","37","3","屏東縣","滿州鄉","120.830","22.075","88"
"35","58493","20220613170000","23","3","屏東縣","滿州鄉","120.830","22.095","18"
"18","58500","20220613170000","31","0","屏東縣","滿州鄉","120.840","22.100","30"
"286","58514","20220613170000","311","0","屏東縣","枋山鄉","120.665","22.240","223"
"233","58522","20220613170000","386","0","屏東縣","枋山鄉","120.650","22.260","235"
