"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"312","6258","20221002194000","192","3","屏東縣","恆春鎮","120.745","21.945","324"
"36","6267","20221002194000","166","0","屏東縣","恆春鎮","120.790","21.945","29"
"171","9415","20221002194000","75","3","屏東縣","恆春鎮","120.715","21.970","241"
"92","9416","20221002194000","60","3","屏東縣","恆春鎮","120.845","21.970","72"
"357","15716","20221002194000","176","3","臺東縣","蘭嶼鄉","121.535","22.025","393"
"41","18068","20221002194000","75","0","屏東縣","車城鄉","120.695","22.045","48"
"15","39868","20221002194000","13","1","屏東縣","牡丹鄉","120.895","22.240","12"
"25","40369","20221002194000","125","0","屏東縣","枋山鄉","120.660","22.245","19"
"82","46865","20221002194000","79","1","臺東縣","大武鄉","120.890","22.305","18"
"60","49782","20221002194000","173","0","屏東縣","琉球鄉","120.355","22.330","68"
"31","49783","20221002194000","139","0","屏東縣","琉球鄉","120.375","22.330","44"
"542","52213","20221002194000","305","3","屏東縣","琉球鄉","120.380","22.355","523"
"113","57589","20221002194000","25","3","屏東縣","春日鄉","120.660","22.365","73"
"82","57606","20221002194000","41","3","屏東縣","春日鄉","120.665","22.365","86"
"117","57748","20221002194000","64","3","屏東縣","春日鄉","120.750","22.405","87"
"255","57758","20221002194000","169","3","屏東縣","春日鄉","120.625","22.365","257"
"35","57868","20221002194000","165","0","屏東縣","車城鄉","120.730","22.055","33"
"209","57949","20221002194000","74","3","屏東縣","車城鄉","120.715","22.050","202"
"29","57951","20221002194000","205","0","屏東縣","車城鄉","120.710","22.055","21"
"637","57952","20221002194000","502","2","屏東縣","枋寮鄉","120.595","22.375","550"
"233","57962","20221002194000","392","0","屏東縣","枋寮鄉","120.595","22.385","214"
"517","57963","20221002194000","440","1","屏東縣","枋寮鄉","120.600","22.385","491"
"18","57992","20221002194000","22","0","屏東縣","滿州鄉","120.890","22.090","19"
"41","58022","20221002194000","36","1","屏東縣","滿州鄉","120.895","22.100","18"
"20","58112","20221002194000","13","3","屏東縣","滿州鄉","120.805","22.015","21"
"102","58150","20221002194000","68","3","屏東縣","滿州鄉","120.875","22.115","99"
"108","58209","20221002194000","70","3","屏東縣","滿州鄉","120.840","21.985","110"
"52","58243","20221002194000","36","2","屏東縣","滿州鄉","120.840","22.015","51"
"217","58245","20221002194000","221","0","屏東縣","滿州鄉","120.835","22.020","226"
"47","58246","20221002194000","15","3","屏東縣","滿州鄉","120.840","22.020","57"
"81","58248","20221002194000","122","0","屏東縣","滿州鄉","120.830","22.025","164"
"316","58265","20221002194000","277","1","屏東縣","滿州鄉","120.830","21.995","320"
"38","58303","20221002194000","20","3","屏東縣","滿州鄉","120.850","22.020","53"
"71","58452","20221002194000","35","3","屏東縣","滿州鄉","120.830","22.075","58"
"39","58493","20221002194000","20","3","屏東縣","滿州鄉","120.830","22.095","39"
"17","58500","20221002194000","22","0","屏東縣","滿州鄉","120.840","22.100","19"
"392","58514","20221002194000","252","3","屏東縣","枋山鄉","120.665","22.240","370"
"157","58522","20221002194000","327","0","屏東縣","枋山鄉","120.650","22.260","157"
"105","58529","20221002194000","210","0","屏東縣","枋山鄉","120.690","22.190","104"
"79","58531","20221002194000","279","0","屏東縣","枋山鄉","120.690","22.195","73"
"29","58544","20221002194000","10","3","屏東縣","佳冬鄉","120.525","22.410","24"
"533","58554","20221002194000","310","3","屏東縣","恆春鎮","120.740","22.030","522"
"15","58568","20221002194000","167","0","屏東縣","恆春鎮","120.735","22.040","22"
"174","58585","20221002194000","23","3","屏東縣","恆春鎮","120.720","22.045","129"
"13","58609","20221002194000","42","0","屏東縣","恆春鎮","120.750","21.955","13"
