"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"1512","6258","20220813134000","909","3","屏東縣","恆春鎮","120.745","21.945","1395"
"23","6267","20220813134000","170","0","屏東縣","恆春鎮","120.790","21.945","19"
"238","9415","20220813134000","102","3","屏東縣","恆春鎮","120.715","21.970","193"
"225","9416","20220813134000","124","3","屏東縣","恆春鎮","120.845","21.970","210"
"324","15716","20220813134000","224","2","臺東縣","蘭嶼鄉","121.535","22.025","359"
"42","15719","20220813134000","384","0","臺東縣","蘭嶼鄉","121.550","22.025","37"
"952","18068","20220813134000","693","2","屏東縣","車城鄉","120.695","22.045","798"
"263","20191","20220813134000","704","0","臺東縣","蘭嶼鄉","121.570","22.065","267"
"28","39868","20220813134000","36","0","屏東縣","牡丹鄉","120.895","22.240","30"
"270","40369","20220813134000","193","2","屏東縣","枋山鄉","120.660","22.245","251"
"110","46865","20220813134000","119","0","臺東縣","大武鄉","120.890","22.305","81"
"135","49782","20220813134000","313","0","屏東縣","琉球鄉","120.355","22.330","117"
"50","49783","20220813134000","279","0","屏東縣","琉球鄉","120.375","22.330","51"
"31","52212","20220813134000","25","2","屏東縣","琉球鄉","120.370","22.355","22"
"828","52213","20220813134000","670","2","屏東縣","琉球鄉","120.380","22.355","759"
"136","57589","20220813134000","43","3","屏東縣","春日鄉","120.660","22.365","104"
"69","57606","20220813134000","79","0","屏東縣","春日鄉","120.665","22.365","70"
"161","57748","20220813134000","138","1","屏東縣","春日鄉","120.750","22.405","167"
"346","57758","20220813134000","214","3","屏東縣","春日鄉","120.625","22.365","285"
"50","57858","20220813134000","190","0","屏東縣","恆春鎮","120.730","21.985","36"
"43","57868","20220813134000","190","0","屏東縣","車城鄉","120.730","22.055","49"
"12","57908","20220813134000","11","1","屏東縣","車城鄉","120.760","22.070","12"
"10","57911","20220813134000","17","0","屏東縣","車城鄉","120.775","22.070","14"
"288","57949","20220813134000","95","3","屏東縣","車城鄉","120.715","22.050","283"
"603","57952","20220813134000","377","3","屏東縣","枋寮鄉","120.595","22.375","666"
"249","57962","20220813134000","544","0","屏東縣","枋寮鄉","120.595","22.385","234"
"590","57963","20220813134000","400","2","屏東縣","枋寮鄉","120.600","22.385","567"
"17","57992","20220813134000","27","0","屏東縣","滿州鄉","120.890","22.090","28"
"44","58022","20220813134000","66","0","屏東縣","滿州鄉","120.895","22.100","57"
"31","58112","20220813134000","13","3","屏東縣","滿州鄉","120.805","22.015","57"
"159","58150","20220813134000","144","1","屏東縣","滿州鄉","120.875","22.115","180"
"10","58179","20220813134000","12","0","屏東縣","滿州鄉","120.880","22.135","12"
"13","58180","20220813134000","19","0","屏東縣","滿州鄉","120.885","22.135","13"
"172","58209","20220813134000","182","0","屏東縣","滿州鄉","120.840","21.985","111"
"62","58243","20220813134000","54","1","屏東縣","滿州鄉","120.840","22.015","52"
"229","58245","20220813134000","228","1","屏東縣","滿州鄉","120.835","22.020","239"
"53","58246","20220813134000","15","3","屏東縣","滿州鄉","120.840","22.020","78"
