"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"252","6258","20220729205000","136","3","屏東縣","恆春鎮","120.745","21.945","293"
"26","6267","20220729205000","215","0","屏東縣","恆春鎮","120.790","21.945","51"
"144","9415","20220729205000","78","3","屏東縣","恆春鎮","120.715","21.970","190"
"117","9416","20220729205000","68","3","屏東縣","恆春鎮","120.845","21.970","121"
"389","15716","20220729205000","219","3","臺東縣","蘭嶼鄉","121.535","22.025","474"
"52","15719","20220729205000","378","0","臺東縣","蘭嶼鄉","121.550","22.025","73"
"82","18068","20220729205000","75","1","屏東縣","車城鄉","120.695","22.045","48"
"302","20191","20220729205000","727","0","臺東縣","蘭嶼鄉","121.570","22.065","424"
"155","40369","20220729205000","92","3","屏東縣","枋山鄉","120.660","22.245","156"
"75","46865","20220729205000","78","0","臺東縣","大武鄉","120.890","22.305","57"
"67","49782","20220729205000","185","0","屏東縣","琉球鄉","120.355","22.330","58"
"54","49783","20220729205000","189","0","屏東縣","琉球鄉","120.375","22.330","63"
"621","52213","20220729205000","421","2","屏東縣","琉球鄉","120.380","22.355","531"
"65","57589","20220729205000","23","3","屏東縣","春日鄉","120.660","22.365","78"
"83","57606","20220729205000","68","2","屏東縣","春日鄉","120.665","22.365","75"
"125","57748","20220729205000","86","2","屏東縣","春日鄉","120.750","22.405","111"
"247","57758","20220729205000","190","2","屏東縣","春日鄉","120.625","22.365","241"
"50","57858","20220729205000","185","0","屏東縣","恆春鎮","120.730","21.985","70"
"43","57868","20220729205000","213","0","屏東縣","車城鄉","120.730","22.055","60"
"204","57949","20220729205000","64","3","屏東縣","車城鄉","120.715","22.050","239"
"35","57951","20220729205000","147","0","屏東縣","車城鄉","120.710","22.055","32"
"433","57952","20220729205000","230","3","屏東縣","枋寮鄉","120.595","22.375","471"
"222","57962","20220729205000","477","0","屏東縣","枋寮鄉","120.595","22.385","238"
"503","57963","20220729205000","395","2","屏東縣","枋寮鄉","120.600","22.385","536"
"17","57992","20220729205000","18","0","屏東縣","滿州鄉","120.890","22.090","27"
"23","58112","20220729205000","14","3","屏東縣","滿州鄉","120.805","22.015","25"
"137","58150","20220729205000","81","3","屏東縣","滿州鄉","120.875","22.115","126"
"16","58179","20220729205000","11","2","屏東縣","滿州鄉","120.880","22.135","12"
"128","58209","20220729205000","99","2","屏東縣","滿州鄉","120.840","21.985","85"
"59","58243","20220729205000","52","1","屏東縣","滿州鄉","120.840","22.015","37"
"244","58245","20220729205000","219","1","屏東縣","滿州鄉","120.835","22.020","192"
"45","58246","20220729205000","14","3","屏東縣","滿州鄉","120.840","22.020","74"
"125","58248","20220729205000","119","1","屏東縣","滿州鄉","120.830","22.025","109"
"334","58265","20220729205000","249","2","屏東縣","滿州鄉","120.830","21.995","265"
"51","58303","20220729205000","26","3","屏東縣","滿州鄉","120.850","22.020","58"
"53","58452","20220729205000","45","1","屏東縣","滿州鄉","120.830","22.075","51"
"37","58493","20220729205000","21","3","屏東縣","滿州鄉","120.830","22.095","39"
"28","58500","20220729205000","30","0","屏東縣","滿州鄉","120.840","22.100","26"
"199","58514","20220729205000","118","3","屏東縣","枋山鄉","120.665","22.240","240"
"142","58522","20220729205000","231","0","屏東縣","枋山鄉","120.650","22.260","128"
"111","58529","20220729205000","282","0","屏東縣","枋山鄉","120.690","22.190","150"
"68","58531","20220729205000","152","0","屏東縣","枋山鄉","120.690","22.195","78"
"32","58544","20220729205000","14","3","屏東縣","佳冬鄉","120.525","22.410","21"
"487","58554","20220729205000","293","3","屏東縣","恆春鎮","120.740","22.030","507"
"24","58568","20220729205000","118","0","屏東縣","恆春鎮","120.735","22.040","34"
"46","58585","20220729205000","24","3","屏東縣","恆春鎮","120.720","22.045","47"
"135","58614","20220729205000","530","0","屏東縣","恆春鎮","120.755","21.960","144"
"21","58615","20220729205000","14","3","屏東縣","恆春鎮","120.760","21.960","21"
"428","58618","20220729205000","481","0","屏東縣","恆春鎮","120.755","21.965","432"
"565","58656","20220729205000","270","3","屏東縣","恆春鎮","120.730","22.010","566"
"11","58662","20220729205000","10","1","屏東縣","恆春鎮","120.725","22.020","23"
"454","58663","20220729205000","371","2","屏東縣","恆春鎮","120.745","22.005","509"
"360","58680","20220729205000","200","3","屏東縣","恆春鎮","120.730","21.995","406"
"50","58690","20220729205000","42","1","屏東縣","恆春鎮","120.740","21.920","60"
"461","58691","20220729205000","225","3","屏東縣","恆春鎮","120.725","21.925","566"
"30","58698","20220729205000","27","1","屏東縣","恆春鎮","120.715","21.935","26"
"89","58707","20220729205000","46","3","屏東縣","恆春鎮","120.715","21.945","80"
"641","58723","20220729205000","199","3","屏東縣","恆春鎮","120.720","21.960","679"
"1165","58725","20220729205000","1167","0","屏東縣","恆春鎮","120.740","22.010","988"
"31","58785","20220729205000","55","0","屏東縣","恆春鎮","120.720","22.040","36"
"10","58792","20220729205000","34","0","屏東縣","恆春鎮","120.710","22.015","14"
"110","58793","20220729205000","54","3","屏東縣","恆春鎮","120.695","22.020","151"
"13","58796","20220729205000","22","0","屏東縣","恆春鎮","120.710","22.020","13"
"175","58818","20220729205000","120","2","屏東縣","恆春鎮","120.850","21.905","223"
"33","58819","20220729205000","19","3","屏東縣","恆春鎮","120.855","21.905","33"
"81","58824","20220729205000","67","2","屏東縣","恆春鎮","120.850","21.910","110"
"251","58829","20220729205000","146","3","屏東縣","恆春鎮","120.850","21.915","237"
"97","58837","20220729205000","81","1","屏東縣","恆春鎮","120.830","21.925","116"
"233","58849","20220729205000","102","3","屏東縣","恆春鎮","120.825","21.935","333"
"11","58859","20220729205000","10","1","屏東縣","恆春鎮","120.840","21.940","14"
"72","58893","20220729205000","234","0","屏東縣","車城鄉","120.715","22.070","60"
"174","58924","20220729205000","62","3","屏東縣","獅子鄉","120.730","22.195","184"
"41","58958","20220729205000","146","0","屏東縣","獅子鄉","120.750","22.205","43"
"158","58971","20220729205000","122","2","屏東縣","獅子鄉","120.725","22.210","180"
"16","58992","20220729205000","14","1","屏東縣","獅子鄉","120.760","22.215","14"
"56","58997","20220729205000","25","3","屏東縣","獅子鄉","120.785","22.215","77"
"201","59115","20220729205000","654","0","屏東縣","琉球鄉","120.380","22.350","295"
"66","59117","20220729205000","376","0","屏東縣","琉球鄉","120.365","22.325","90"
"697","59120","20220729205000","299","3","屏東縣","琉球鄉","120.370","22.335","827"
"180","59149","20220729205000","136","2","屏東縣","獅子鄉","120.660","22.275","218"
"97","59469","20220729205000","78","2","屏東縣","獅子鄉","120.650","22.315","90"
"16","59727","20220729205000","96","0","屏東縣","獅子鄉","120.710","22.195","16"
"177","59772","20220729205000","114","3","屏東縣","獅子鄉","120.685","22.225","190"
"339","60023","20220729205000","156","3","屏東縣","獅子鄉","120.700","22.165","324"
"14","60048","20220729205000","51","0","屏東縣","獅子鄉","120.795","22.225","20"
"28","60065","20220729205000","97","0","屏東縣","獅子鄉","120.800","22.230","30"
"62","60076","20220729205000","17","3","屏東縣","獅子鄉","120.805","22.235","47"
"1822","60172","20220729205000","1745","1","屏東縣","琉球鄉","120.370","22.340","1779"
"138","60173","20220729205000","32","3","屏東縣","琉球鄉","120.370","22.345","228"
"190","60174","20220729205000","109","3","屏東縣","琉球鄉","120.375","22.345","285"
"162","60189","20220729205000","96","3","屏東縣","車城鄉","120.700","22.040","171"
"68","60193","20220729205000","43","3","屏東縣","車城鄉","120.700","22.050","75"
"32","60196","20220729205000","44","0","屏東縣","琉球鄉","120.365","22.340","56"
"17","60197","20220729205000","34","0","屏東縣","琉球鄉","120.365","22.345","22"
"196","60198","20220729205000","242","0","屏東縣","琉球鄉","120.370","22.350","211"
"471","60206","20220729205000","225","3","屏東縣","車城鄉","120.715","22.065","334"
"63","60213","20220729205000","150","0","屏東縣","車城鄉","120.720","22.090","55"
"169","60234","20220729205000","39","3","屏東縣","車城鄉","120.715","22.115","186"
"1091","60246","20220729205000","618","3","屏東縣","琉球鄉","120.385","22.350","986"
"114","60260","20220729205000","80","2","屏東縣","車城鄉","120.740","22.085","126"
"226","60283","20220729205000","232","0","屏東縣","車城鄉","120.750","22.095","205"
"41","60314","20220729205000","179","0","屏東縣","枋寮鄉","120.555","22.390","42"
"101","60322","20220729205000","374","0","屏東縣","車城鄉","120.715","22.075","118"
"240","60328","20220729205000","126","3","屏東縣","車城鄉","120.730","22.075","267"
"14","60338","20220729205000","21","0","屏東縣","枋寮鄉","120.595","22.390","14"
