"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"248","6258","20221101153000","279","0","屏東縣","恆春鎮","120.745","21.945","290"
"17","6267","20221101153000","121","0","屏東縣","恆春鎮","120.790","21.945","16"
"122","9415","20221101153000","61","3","屏東縣","恆春鎮","120.715","21.970","215"
"72","9416","20221101153000","78","0","屏東縣","恆春鎮","120.845","21.970","127"
"186","15716","20221101153000","199","0","臺東縣","蘭嶼鄉","121.535","22.025","166"
"23","15719","20221101153000","230","0","臺東縣","蘭嶼鄉","121.550","22.025","30"
"115","18068","20221101153000","219","0","屏東縣","車城鄉","120.695","22.045","326"
"165","20191","20221101153000","525","0","臺東縣","蘭嶼鄉","121.570","22.065","134"
"14","40369","20221101153000","99","0","屏東縣","枋山鄉","120.660","22.245","13"
"59","46865","20221101153000","84","0","臺東縣","大武鄉","120.890","22.305","82"
"70","49782","20221101153000","163","0","屏東縣","琉球鄉","120.355","22.330","97"
"40","49783","20221101153000","175","0","屏東縣","琉球鄉","120.375","22.330","51"
"375","52213","20221101153000","333","1","屏東縣","琉球鄉","120.380","22.355","518"
"88","57589","20221101153000","28","3","屏東縣","春日鄉","120.660","22.365","84"
"61","57606","20221101153000","43","2","屏東縣","春日鄉","120.665","22.365","72"
"106","57748","20221101153000","110","0","屏東縣","春日鄉","120.750","22.405","130"
"301","57758","20221101153000","205","2","屏東縣","春日鄉","120.625","22.365","253"
"37","57868","20221101153000","187","0","屏東縣","車城鄉","120.730","22.055","29"
"12","57911","20221101153000","15","0","屏東縣","車城鄉","120.775","22.070","11"
"180","57949","20221101153000","77","3","屏東縣","車城鄉","120.715","22.050","176"
"28","57951","20221101153000","150","0","屏東縣","車城鄉","120.710","22.055","23"
"524","57952","20221101153000","288","3","屏東縣","枋寮鄉","120.595","22.375","521"
"240","57962","20221101153000","377","0","屏東縣","枋寮鄉","120.595","22.385","200"
"434","57963","20221101153000","316","2","屏東縣","枋寮鄉","120.600","22.385","446"
"11","57992","20221101153000","14","0","屏東縣","滿州鄉","120.890","22.090","11"
"55","58022","20221101153000","27","3","屏東縣","滿州鄉","120.895","22.100","89"
"16","58112","20221101153000","14","1","屏東縣","滿州鄉","120.805","22.015","28"
"89","58150","20221101153000","98","0","屏東縣","滿州鄉","120.875","22.115","89"
"12","58179","20221101153000","17","0","屏東縣","滿州鄉","120.880","22.135","47"
"70","58209","20221101153000","89","0","屏東縣","滿州鄉","120.840","21.985","86"
"50","58243","20221101153000","48","1","屏東縣","滿州鄉","120.840","22.015","63"
"190","58245","20221101153000","204","0","屏東縣","滿州鄉","120.835","22.020","230"
"97","58246","20221101153000","13","3","屏東縣","滿州鄉","120.840","22.020","48"
"102","58248","20221101153000","83","2","屏東縣","滿州鄉","120.830","22.025","54"
"250","58265","20221101153000","265","0","屏東縣","滿州鄉","120.830","21.995","302"
"66","58303","20221101153000","19","3","屏東縣","滿州鄉","120.850","22.020","58"
"46","58452","20221101153000","42","1","屏東縣","滿州鄉","120.830","22.075","54"
"36","58493","20221101153000","20","3","屏東縣","滿州鄉","120.830","22.095","39"
"10","58500","20221101153000","37","0","屏東縣","滿州鄉","120.840","22.100","18"
"392","58514","20221101153000","218","3","屏東縣","枋山鄉","120.665","22.240","560"
"139","58522","20221101153000","336","0","屏東縣","枋山鄉","120.650","22.260","195"
"127","58529","20221101153000","259","0","屏東縣","枋山鄉","120.690","22.190","93"
"74","58531","20221101153000","197","0","屏東縣","枋山鄉","120.690","22.195","116"
"25","58544","20221101153000","10","3","屏東縣","佳冬鄉","120.525","22.410","22"
"520","58554","20221101153000","475","1","屏東縣","恆春鎮","120.740","22.030","790"
"38","58568","20221101153000","210","0","屏東縣","恆春鎮","120.735","22.040","24"
"95","58585","20221101153000","41","3","屏東縣","恆春鎮","120.720","22.045","86"
"88","58609","20221101153000","927","0","屏東縣","恆春鎮","120.750","21.955","82"
"116","58614","20221101153000","610","0","屏東縣","恆春鎮","120.755","21.960","109"
