"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"465","6258","20220906171000","242","3","屏東縣","恆春鎮","120.745","21.945","498"
"24","6267","20220906171000","146","0","屏東縣","恆春鎮","120.790","21.945","27"
"204","9415","20220906171000","76","3","屏東縣","恆春鎮","120.715","21.970","148"
"109","9416","20220906171000","61","3","屏東縣","恆春鎮","120.845","21.970","183"
"284","15716","20220906171000","201","2","臺東縣","蘭嶼鄉","121.535","22.025","341"
"42","15719","20220906171000","268","0","臺東縣","蘭嶼鄉","121.550","22.025","48"
"157","18068","20220906171000","117","2","屏東縣","車城鄉","120.695","22.045","157"
"300","20191","20220906171000","610","0","臺東縣","蘭嶼鄉","121.570","22.065","248"
"245","40369","20220906171000","108","3","屏東縣","枋山鄉","120.660","22.245","289"
"71","46865","20220906171000","67","1","臺東縣","大武鄉","120.890","22.305","64"
"73","49782","20220906171000","174","0","屏東縣","琉球鄉","120.355","22.330","89"
"46","49783","20220906171000","179","0","屏東縣","琉球鄉","120.375","22.330","68"
"467","52213","20220906171000","321","2","屏東縣","琉球鄉","120.380","22.355","588"
"122","57589","20220906171000","27","3","屏東縣","春日鄉","120.660","22.365","89"
"73","57606","20220906171000","42","3","屏東縣","春日鄉","120.665","22.365","70"
"121","57748","20220906171000","109","1","屏東縣","春日鄉","120.750","22.405","146"
"149","57758","20220906171000","174","0","屏東縣","春日鄉","120.625","22.365","302"
"42","57868","20220906171000","183","0","屏東縣","車城鄉","120.730","22.055","30"
"207","57949","20220906171000","83","3","屏東縣","車城鄉","120.715","22.050","194"
"31","57951","20220906171000","123","0","屏東縣","車城鄉","120.710","22.055","28"
"573","57952","20220906171000","267","3","屏東縣","枋寮鄉","120.595","22.375","495"
"242","57962","20220906171000","377","0","屏東縣","枋寮鄉","120.595","22.385","239"
"531","57963","20220906171000","322","3","屏東縣","枋寮鄉","120.600","22.385","488"
"12","57992","20220906171000","14","0","屏東縣","滿州鄉","120.890","22.090","12"
"37","58022","20220906171000","16","3","屏東縣","滿州鄉","120.895","22.100","26"
"24","58112","20220906171000","15","3","屏東縣","滿州鄉","120.805","22.015","16"
"115","58150","20220906171000","89","2","屏東縣","滿州鄉","120.875","22.115","147"
"16","58179","20220906171000","25","0","屏東縣","滿州鄉","120.880","22.135","14"
"79","58209","20220906171000","92","0","屏東縣","滿州鄉","120.840","21.985","104"
"57","58243","20220906171000","66","0","屏東縣","滿州鄉","120.840","22.015","47"
"243","58245","20220906171000","196","2","屏東縣","滿州鄉","120.835","22.020","199"
"62","58246","20220906171000","15","3","屏東縣","滿州鄉","120.840","22.020","58"
"82","58248","20220906171000","85","0","屏東縣","滿州鄉","120.830","22.025","74"
"282","58265","20220906171000","266","1","屏東縣","滿州鄉","120.830","21.995","290"
"61","58303","20220906171000","20","3","屏東縣","滿州鄉","120.850","22.020","54"
"53","58452","20220906171000","42","2","屏東縣","滿州鄉","120.830","22.075","55"
"47","58493","20220906171000","21","3","屏東縣","滿州鄉","120.830","22.095","49"
"18","58500","20220906171000","24","0","屏東縣","滿州鄉","120.840","22.100","18"
"428","58514","20220906171000","237","3","屏東縣","枋山鄉","120.665","22.240","270"
"164","58522","20220906171000","311","0","屏東縣","枋山鄉","120.650","22.260","209"
"95","58529","20220906171000","243","0","屏東縣","枋山鄉","120.690","22.190","105"
"92","58531","20220906171000","200","0","屏東縣","枋山鄉","120.690","22.195","72"
"25","58544","20220906171000","10","3","屏東縣","佳冬鄉","120.525","22.410","30"
"879","58554","20220906171000","518","3","屏東縣","恆春鎮","120.740","22.030","788"
"39","58568","20220906171000","200","0","屏東縣","恆春鎮","120.735","22.040","46"
"97","58585","20220906171000","44","3","屏東縣","恆春鎮","120.720","22.045","100"
