"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"549","6258","20220822101000","185","3","屏東縣","恆春鎮","120.745","21.945","568"
"36","6267","20220822101000","153","0","屏東縣","恆春鎮","120.790","21.945","36"
"248","9415","20220822101000","66","3","屏東縣","恆春鎮","120.715","21.970","143"
"157","9416","20220822101000","80","3","屏東縣","恆春鎮","120.845","21.970","136"
"385","15716","20220822101000","197","3","臺東縣","蘭嶼鄉","121.535","22.025","342"
"44","15719","20220822101000","267","0","臺東縣","蘭嶼鄉","121.550","22.025","44"
"332","18068","20220822101000","182","3","屏東縣","車城鄉","120.695","22.045","262"
"145","20191","20220822101000","578","0","臺東縣","蘭嶼鄉","121.570","22.065","145"
"19","39868","20220822101000","45","0","屏東縣","牡丹鄉","120.895","22.240","18"
"180","40369","20220822101000","88","3","屏東縣","枋山鄉","120.660","22.245","160"
"95","46865","20220822101000","68","2","臺東縣","大武鄉","120.890","22.305","76"
"148","49782","20220822101000","156","0","屏東縣","琉球鄉","120.355","22.330","121"
"42","49783","20220822101000","173","0","屏東縣","琉球鄉","120.375","22.330","42"
"762","52213","20220822101000","301","3","屏東縣","琉球鄉","120.380","22.355","710"
"71","57589","20220822101000","30","3","屏東縣","春日鄉","120.660","22.365","105"
"92","57606","20220822101000","44","3","屏東縣","春日鄉","120.665","22.365","66"
"98","57748","20220822101000","105","0","屏東縣","春日鄉","120.750","22.405","85"
"275","57758","20220822101000","191","2","屏東縣","春日鄉","120.625","22.365","274"
"41","57858","20220822101000","127","0","屏東縣","恆春鎮","120.730","21.985","41"
"35","57868","20220822101000","158","0","屏東縣","車城鄉","120.730","22.055","35"
"187","57949","20220822101000","73","3","屏東縣","車城鄉","120.715","22.050","194"
"32","57951","20220822101000","119","0","屏東縣","車城鄉","120.710","22.055","32"
"454","57952","20220822101000","250","3","屏東縣","枋寮鄉","120.595","22.375","463"
"174","57962","20220822101000","295","0","屏東縣","枋寮鄉","120.595","22.385","72"
"494","57963","20220822101000","370","2","屏東縣","枋寮鄉","120.600","22.385","499"
"12","57992","20220822101000","19","0","屏東縣","滿州鄉","120.890","22.090","17"
"31","58022","20220822101000","26","1","屏東縣","滿州鄉","120.895","22.100","37"
"36","58112","20220822101000","18","3","屏東縣","滿州鄉","120.805","22.015","24"
"158","58150","20220822101000","108","2","屏東縣","滿州鄉","120.875","22.115","154"
"21","58179","20220822101000","34","0","屏東縣","滿州鄉","120.880","22.135","16"
"153","58209","20220822101000","74","3","屏東縣","滿州鄉","120.840","21.985","110"
"83","58243","20220822101000","51","3","屏東縣","滿州鄉","120.840","22.015","78"
"311","58245","20220822101000","212","2","屏東縣","滿州鄉","120.835","22.020","222"
"24","58246","20220822101000","11","3","屏東縣","滿州鄉","120.840","22.020","47"
"387","58248","20220822101000","85","3","屏東縣","滿州鄉","120.830","22.025","199"
"336","58265","20220822101000","256","2","屏東縣","滿州鄉","120.830","21.995","244"
"43","58303","20220822101000","16","3","屏東縣","滿州鄉","120.850","22.020","54"
"52","58452","20220822101000","33","3","屏東縣","滿州鄉","120.830","22.075","40"
"42","58493","20220822101000","19","3","屏東縣","滿州鄉","120.830","22.095","65"
"33","58500","20220822101000","36","0","屏東縣","滿州鄉","120.840","22.100","16"
"348","58514","20220822101000","167","3","屏東縣","枋山鄉","120.665","22.240","340"
"217","58522","20220822101000","285","0","屏東縣","枋山鄉","120.650","22.260","180"
"121","58529","20220822101000","190","0","屏東縣","枋山鄉","120.690","22.190","10"
"92","58531","20220822101000","181","0","屏東縣","枋山鄉","120.690","22.195","62"
"28","58544","20220822101000","11","3","屏東縣","佳冬鄉","120.525","22.410","28"
"747","58554","20220822101000","436","3","屏東縣","恆春鎮","120.740","22.030","941"
"40","58568","20220822101000","218","0","屏東縣","恆春鎮","120.735","22.040","40"
"73","58585","20220822101000","26","3","屏東縣","恆春鎮","120.720","22.045","81"
"55","58609","20220822101000","864","0","屏東縣","恆春鎮","120.750","21.955","55"
"209","58614","20220822101000","611","0","屏東縣","恆春鎮","120.755","21.960","209"
"1162","58618","20220822101000","365","3","屏東縣","恆春鎮","120.755","21.965","853"
"492","58656","20220822101000","161","3","屏東縣","恆春鎮","120.730","22.010","574"
"13","58662","20220822101000","10","2","屏東縣","恆春鎮","120.725","22.020","13"
"360","58663","20220822101000","284","2","屏東縣","恆春鎮","120.745","22.005","393"
"398","58680","20220822101000","162","3","屏東縣","恆春鎮","120.730","21.995","344"
"86","58690","20220822101000","29","3","屏東縣","恆春鎮","120.740","21.920","86"
"554","58691","20220822101000","210","3","屏東縣","恆春鎮","120.725","21.925","528"
"33","58698","20220822101000","21","3","屏東縣","恆春鎮","120.715","21.935","46"
"108","58707","20220822101000","54","3","屏東縣","恆春鎮","120.715","21.945","109"
"1281","58725","20220822101000","1050","2","屏東縣","恆春鎮","120.740","22.010","917"
