"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"336","6258","20220930194000","206","3","屏東縣","恆春鎮","120.745","21.945","327"
"36","6267","20220930194000","221","0","屏東縣","恆春鎮","120.790","21.945","40"
"198","9415","20220930194000","82","3","屏東縣","恆春鎮","120.715","21.970","169"
"99","9416","20220930194000","54","3","屏東縣","恆春鎮","120.845","21.970","97"
"455","15716","20220930194000","194","3","臺東縣","蘭嶼鄉","121.535","22.025","396"
"43","18068","20220930194000","81","0","屏東縣","車城鄉","120.695","22.045","43"
"22","40369","20220930194000","107","0","屏東縣","枋山鄉","120.660","22.245","19"
"86","46865","20220930194000","88","0","臺東縣","大武鄉","120.890","22.305","17"
"89","49782","20220930194000","184","0","屏東縣","琉球鄉","120.355","22.330","64"
"44","49783","20220930194000","175","0","屏東縣","琉球鄉","120.375","22.330","44"
"456","52213","20220930194000","414","1","屏東縣","琉球鄉","120.380","22.355","473"
"96","57589","20220930194000","29","3","屏東縣","春日鄉","120.660","22.365","92"
"61","57606","20220930194000","60","1","屏東縣","春日鄉","120.665","22.365","84"
"113","57748","20220930194000","87","2","屏東縣","春日鄉","120.750","22.405","107"
"272","57758","20220930194000","202","2","屏東縣","春日鄉","120.625","22.365","261"
"33","57868","20220930194000","200","0","屏東縣","車城鄉","120.730","22.055","35"
"231","57949","20220930194000","67","3","屏東縣","車城鄉","120.715","22.050","213"
"36","57951","20220930194000","143","0","屏東縣","車城鄉","120.710","22.055","32"
"571","57952","20220930194000","267","3","屏東縣","枋寮鄉","120.595","22.375","523"
"241","57962","20220930194000","493","0","屏東縣","枋寮鄉","120.595","22.385","260"
"540","57963","20220930194000","380","2","屏東縣","枋寮鄉","120.600","22.385","528"
"10","57992","20220930194000","18","0","屏東縣","滿州鄉","120.890","22.090","17"
"48","58022","20220930194000","25","3","屏東縣","滿州鄉","120.895","22.100","12"
"21","58112","20220930194000","14","3","屏東縣","滿州鄉","120.805","22.015","20"
"122","58150","20220930194000","84","2","屏東縣","滿州鄉","120.875","22.115","111"
"12","58180","20220930194000","19","0","屏東縣","滿州鄉","120.885","22.135","12"
"90","58209","20220930194000","97","0","屏東縣","滿州鄉","120.840","21.985","89"
"40","58243","20220930194000","53","0","屏東縣","滿州鄉","120.840","22.015","48"
"182","58245","20220930194000","229","0","屏東縣","滿州鄉","120.835","22.020","204"
"54","58246","20220930194000","13","3","屏東縣","滿州鄉","120.840","22.020","63"
"88","58248","20220930194000","106","0","屏東縣","滿州鄉","120.830","22.025","87"
"256","58265","20220930194000","240","1","屏東縣","滿州鄉","120.830","21.995","277"
"55","58303","20220930194000","22","3","屏東縣","滿州鄉","120.850","22.020","52"
"65","58452","20220930194000","44","2","屏東縣","滿州鄉","120.830","22.075","56"
"47","58493","20220930194000","24","3","屏東縣","滿州鄉","120.830","22.095","31"
"18","58500","20220930194000","33","0","屏東縣","滿州鄉","120.840","22.100","19"
"350","58514","20220930194000","127","3","屏東縣","枋山鄉","120.665","22.240","316"
"119","58522","20220930194000","223","0","屏東縣","枋山鄉","120.650","22.260","157"
"122","58529","20220930194000","290","0","屏東縣","枋山鄉","120.690","22.190","124"
"92","58531","20220930194000","167","0","屏東縣","枋山鄉","120.690","22.195","94"
"37","58544","20220930194000","12","3","屏東縣","佳冬鄉","120.525","22.410","29"
"584","58554","20220930194000","299","3","屏東縣","恆春鎮","120.740","22.030","562"
"31","58568","20220930194000","125","0","屏東縣","恆春鎮","120.735","22.040","21"
"154","58585","20220930194000","23","3","屏東縣","恆春鎮","120.720","22.045","132"
"15","58609","20220930194000","231","0","屏東縣","恆春鎮","120.750","21.955","14"
"119","58614","20220930194000","609","0","屏東縣","恆春鎮","120.755","21.960","87"
"24","58615","20220930194000","13","3","屏東縣","恆春鎮","120.760","21.960","20"
"380","58618","20220930194000","443","0","屏東縣","恆春鎮","120.755","21.965","456"
"538","58656","20220930194000","243","3","屏東縣","恆春鎮","120.730","22.010","564"
"483","58663","20220930194000","387","2","屏東縣","恆春鎮","120.745","22.005","465"
"340","58680","20220930194000","180","3","屏東縣","恆春鎮","120.730","21.995","284"
"23","58690","20220930194000","30","0","屏東縣","恆春鎮","120.740","21.920","18"
"430","58691","20220930194000","219","3","屏東縣","恆春鎮","120.725","21.925","482"
"26","58698","20220930194000","21","2","屏東縣","恆春鎮","120.715","21.935","27"
"42","58707","20220930194000","49","0","屏東縣","恆春鎮","120.715","21.945","55"
"649","58723","20220930194000","225","3","屏東縣","恆春鎮","120.720","21.960","701"
"886","58725","20220930194000","1145","0","屏東縣","恆春鎮","120.740","22.010","954"
"26","58785","20220930194000","61","0","屏東縣","恆春鎮","120.720","22.040","26"
"117","58793","20220930194000","54","3","屏東縣","恆春鎮","120.695","22.020","116"
"14","58796","20220930194000","18","0","屏東縣","恆春鎮","120.710","22.020","17"
"88","58818","20220930194000","117","0","屏東縣","恆春鎮","120.850","21.905","96"
"21","58819","20220930194000","20","1","屏東縣","恆春鎮","120.855","21.905","23"
"59","58824","20220930194000","57","1","屏東縣","恆春鎮","120.850","21.910","57"
"184","58829","20220930194000","150","2","屏東縣","恆春鎮","120.850","21.915","150"
"88","58837","20220930194000","75","1","屏東縣","恆春鎮","120.830","21.925","105"
"169","58849","20220930194000","88","3","屏東縣","恆春鎮","120.825","21.935","202"
"49","58893","20220930194000","235","0","屏東縣","車城鄉","120.715","22.070","48"
"180","58924","20220930194000","62","3","屏東縣","獅子鄉","120.730","22.195","180"
"32","58958","20220930194000","152","0","屏東縣","獅子鄉","120.750","22.205","31"
"166","58971","20220930194000","133","2","屏東縣","獅子鄉","120.725","22.210","162"
"21","58992","20220930194000","18","1","屏東縣","獅子鄉","120.760","22.215","27"
"58","58997","20220930194000","27","3","屏東縣","獅子鄉","120.785","22.215","88"
"184","59115","20220930194000","685","0","屏東縣","琉球鄉","120.380","22.350","176"
"77","59117","20220930194000","339","0","屏東縣","琉球鄉","120.365","22.325","70"
