"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"103","6258","20221028015000","104","0","屏東縣","恆春鎮","120.745","21.945","109"
"20","6267","20221028015000","197","0","屏東縣","恆春鎮","120.790","21.945","17"
"120","9415","20221028015000","88","2","屏東縣","恆春鎮","120.715","21.970","131"
"72","9416","20221028015000","55","2","屏東縣","恆春鎮","120.845","21.970","79"
"142","15716","20221028015000","204","0","臺東縣","蘭嶼鄉","121.535","22.025","181"
"16","15719","20221028015000","318","0","臺東縣","蘭嶼鄉","121.550","22.025","23"
"35","18068","20221028015000","42","0","屏東縣","車城鄉","120.695","22.045","42"
"101","20191","20221028015000","607","0","臺東縣","蘭嶼鄉","121.570","22.065","126"
"74","46865","20221028015000","70","1","臺東縣","大武鄉","120.890","22.305","72"
"57","49782","20221028015000","179","0","屏東縣","琉球鄉","120.355","22.330","91"
"11","49783","20221028015000","150","0","屏東縣","琉球鄉","120.375","22.330","13"
"494","52213","20221028015000","273","3","屏東縣","琉球鄉","120.380","22.355","426"
"36","57589","20221028015000","20","3","屏東縣","春日鄉","120.660","22.365","34"
"85","57606","20221028015000","80","1","屏東縣","春日鄉","120.665","22.365","89"
"90","57748","20221028015000","84","1","屏東縣","春日鄉","120.750","22.405","91"
"235","57758","20221028015000","173","2","屏東縣","春日鄉","120.625","22.365","222"
"18","57868","20221028015000","236","0","屏東縣","車城鄉","120.730","22.055","15"
"125","57949","20221028015000","67","3","屏東縣","車城鄉","120.715","22.050","119"
"13","57951","20221028015000","135","0","屏東縣","車城鄉","120.710","22.055","10"
"229","57952","20221028015000","166","2","屏東縣","枋寮鄉","120.595","22.375","228"
"97","57962","20221028015000","434","0","屏東縣","枋寮鄉","120.595","22.385","98"
"395","57963","20221028015000","369","1","屏東縣","枋寮鄉","120.600","22.385","379"
"11","57992","20221028015000","18","0","屏東縣","滿州鄉","120.890","22.090","17"
"12","58022","20221028015000","10","2","屏東縣","滿州鄉","120.895","22.100","14"
"10","58112","20221028015000","13","0","屏東縣","滿州鄉","120.805","22.015","14"
"110","58150","20221028015000","90","2","屏東縣","滿州鄉","120.875","22.115","112"
"96","58209","20221028015000","93","1","屏東縣","滿州鄉","120.840","21.985","93"
"59","58243","20221028015000","39","3","屏東縣","滿州鄉","120.840","22.015","54"
"254","58245","20221028015000","225","1","屏東縣","滿州鄉","120.835","22.020","255"
"32","58246","20221028015000","17","3","屏東縣","滿州鄉","120.840","22.020","28"
"224","58248","20221028015000","131","3","屏東縣","滿州鄉","120.830","22.025","178"
"293","58265","20221028015000","243","2","屏東縣","滿州鄉","120.830","21.995","284"
"46","58303","20221028015000","27","3","屏東縣","滿州鄉","120.850","22.020","59"
"62","58452","20221028015000","49","2","屏東縣","滿州鄉","120.830","22.075","74"
"33","58493","20221028015000","22","3","屏東縣","滿州鄉","120.830","22.095","31"
"17","58500","20221028015000","25","0","屏東縣","滿州鄉","120.840","22.100","19"
"88","58514","20221028015000","68","2","屏東縣","枋山鄉","120.665","22.240","95"
"153","58522","20221028015000","135","1","屏東縣","枋山鄉","120.650","22.260","133"
"28","58529","20221028015000","247","0","屏東縣","枋山鄉","120.690","22.190","31"
"29","58531","20221028015000","108","0","屏東縣","枋山鄉","120.690","22.195","29"
"13","58544","20221028015000","11","1","屏東縣","佳冬鄉","120.525","22.410","14"
"298","58554","20221028015000","611","0","屏東縣","恆春鎮","120.740","22.030","450"
"22","58568","20221028015000","136","0","屏東縣","恆春鎮","120.735","22.040","19"
"33","58585","20221028015000","71","0","屏東縣","恆春鎮","120.720","22.045","130"
"11","58609","20221028015000","59","0","屏東縣","恆春鎮","120.750","21.955","15"
"33","58614","20221028015000","433","0","屏東縣","恆春鎮","120.755","21.960","37"
