"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"169","6258","20220611222000","157","1","屏東縣","恆春鎮","120.745","21.945","264"
"42","6267","20220611222000","280","0","屏東縣","恆春鎮","120.790","21.945","26"
"129","9415","20220611222000","107","2","屏東縣","恆春鎮","120.715","21.970","140"
"121","9416","20220611222000","93","2","屏東縣","恆春鎮","120.845","21.970","133"
"322","15716","20220611222000","217","2","臺東縣","蘭嶼鄉","121.535","22.025","307"
"33","15719","20220611222000","385","0","臺東縣","蘭嶼鄉","121.550","22.025","23"
"55","18068","20220611222000","93","0","屏東縣","車城鄉","120.695","22.045","57"
"203","20191","20220611222000","788","0","臺東縣","蘭嶼鄉","121.570","22.065","148"
"131","40369","20220611222000","119","1","屏東縣","枋山鄉","120.660","22.245","131"
"74","46865","20220611222000","72","1","臺東縣","大武鄉","120.890","22.305","73"
"223","49782","20220611222000","256","0","屏東縣","琉球鄉","120.355","22.330","233"
"31","49783","20220611222000","230","0","屏東縣","琉球鄉","120.375","22.330","46"
"634","52213","20220611222000","533","1","屏東縣","琉球鄉","120.380","22.355","668"
"21","57554","20220611222000","22","0","屏東縣","春日鄉","120.645","22.355","19"
"39","57589","20220611222000","25","3","屏東縣","春日鄉","120.660","22.365","24"
"103","57606","20220611222000","86","1","屏東縣","春日鄉","120.665","22.365","104"
"152","57748","20220611222000","82","3","屏東縣","春日鄉","120.750","22.405","98"
"226","57758","20220611222000","199","1","屏東縣","春日鄉","120.625","22.365","228"
"39","57858","20220611222000","272","0","屏東縣","恆春鎮","120.730","21.985","64"
"39","57868","20220611222000","197","0","屏東縣","車城鄉","120.730","22.055","47"
"141","57949","20220611222000","86","3","屏東縣","車城鄉","120.715","22.050","167"
"17","57951","20220611222000","179","0","屏東縣","車城鄉","120.710","22.055","19"
"265","57952","20220611222000","227","1","屏東縣","枋寮鄉","120.595","22.375","254"
"864","57962","20220611222000","535","3","屏東縣","枋寮鄉","120.595","22.385","918"
"411","57963","20220611222000","409","1","屏東縣","枋寮鄉","120.600","22.385","446"
"20","57992","20220611222000","31","0","屏東縣","滿州鄉","120.890","22.090","24"
"24","58022","20220611222000","31","0","屏東縣","滿州鄉","120.895","22.100","17"
"18","58112","20220611222000","21","0","屏東縣","滿州鄉","120.805","22.015","24"
"112","58150","20220611222000","86","2","屏東縣","滿州鄉","120.875","22.115","113"
"11","58179","20220611222000","12","0","屏東縣","滿州鄉","120.880","22.135","16"
"158","58209","20220611222000","133","1","屏東縣","滿州鄉","120.840","21.985","166"
"63","58243","20220611222000","56","1","屏東縣","滿州鄉","120.840","22.015","69"
"255","58245","20220611222000","255","1","屏東縣","滿州鄉","120.835","22.020","277"
"27","58246","20220611222000","15","3","屏東縣","滿州鄉","120.840","22.020","37"
"147","58248","20220611222000","207","0","屏東縣","滿州鄉","120.830","22.025","158"
"371","58265","20220611222000","296","2","屏東縣","滿州鄉","120.830","21.995","419"
"41","58303","20220611222000","28","2","屏東縣","滿州鄉","120.850","22.020","38"
"88","58452","20220611222000","50","3","屏東縣","滿州鄉","120.830","22.075","99"
"33","58493","20220611222000","31","1","屏東縣","滿州鄉","120.830","22.095","36"
"25","58500","20220611222000","32","0","屏東縣","滿州鄉","120.840","22.100","24"
"140","58514","20220611222000","131","1","屏東縣","枋山鄉","120.665","22.240","197"
"187","58522","20220611222000","169","1","屏東縣","枋山鄉","120.650","22.260","208"
"96","58529","20220611222000","289","0","屏東縣","枋山鄉","120.690","22.190","93"
"48","58531","20220611222000","147","0","屏東縣","枋山鄉","120.690","22.195","57"
"24","58544","20220611222000","15","3","屏東縣","佳冬鄉","120.525","22.410","31"
"536","58554","20220611222000","360","2","屏東縣","恆春鎮","120.740","22.030","589"
