"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,2188
"南投縣","仁愛鄉",NA,4366
"南投縣","信義鄉",NA,4487
"南投縣","南投市",NA,30185
"南投縣","名間鄉",NA,8609
"南投縣","國姓鄉",NA,2967
"南投縣","埔里鎮",NA,20327
"南投縣","水里鄉",NA,3309
"南投縣","竹山鎮",NA,12437
"南投縣","草屯鎮",NA,28772
"南投縣","集集鎮",NA,1951
"南投縣","魚池鄉",NA,2375
"南投縣","鹿谷鄉",NA,2813
"台中市","中區",NA,4860
"台中市","北區",NA,49955
"台中市","北屯區",NA,93053
"台中市","南區",NA,44488
"台中市","南屯區",NA,59206
"台中市","后里區",NA,15790
"台中市","和平區",NA,2322
"台中市","外埔區",NA,10103
"台中市","大安區",NA,5143
"台中市","大甲區",NA,21822
"台中市","大肚區",NA,17684
"台中市","大里區",NA,69745
"台中市","大雅區",NA,33176
"台中市","太平區",NA,64304
"台中市","新社區",NA,4831
"台中市","東勢區",NA,12171
"台中市","東區",NA,24731
"台中市","梧棲區",NA,21405
"台中市","沙鹿區",NA,36178
"台中市","清水區",NA,28057
"台中市","潭子區",NA,35240
"台中市","烏日區",NA,26529
"台中市","石岡區",NA,3365
"台中市","神岡區",NA,20524
"台中市","西區",NA,34551
"台中市","西屯區",NA,83813
"台中市","豐原區",NA,48541
"台中市","霧峰區",NA,21283
"台中市","龍井區",NA,26115
"台北市","中山區",NA,71601
"台北市","中正區",NA,38272
"台北市","信義區",NA,69089
"台北市","內湖區",NA,86736
"台北市","北投區",NA,76297
"台北市","南港區",NA,39363
"台北市","士林區",NA,81510
"台北市","大同區",NA,38016
"台北市","大安區",NA,71611
"台北市","文山區",NA,83456
"台北市","松山區",NA,54720
"台北市","萬華區",NA,59605
"台南市","七股區",NA,3830
"台南市","下營區",NA,4719
"台南市","中西區",NA,18621
"台南市","仁德區",NA,25212
"台南市","佳里區",NA,13834
"台南市","六甲區",NA,5435
"台南市","北區",NA,37021
"台南市","北門區",NA,1289
"台南市","南化區",NA,1116
"台南市","南區",NA,34729
"台南市","善化區",NA,16789
"台南市","大內區",NA,1497
"台南市","學甲區",NA,4922
"台南市","安南區",NA,58296
"台南市","安定區",NA,8026
"台南市","安平區",NA,19111
"台南市","官田區",NA,5483
"台南市","將軍區",NA,2976
"台南市","山上區",NA,1937
"台南市","左鎮區",NA,706
"台南市","後壁區",NA,4624
"台南市","新化區",NA,11914
"台南市","新市區",NA,13684
"台南市","新營區",NA,20862
"台南市","東區",NA,49199
"台南市","東山區",NA,3335
"台南市","柳營區",NA,5570
"台南市","楠西區",NA,1301
"台南市","歸仁區",NA,20139
"台南市","永康區",NA,80387
"台南市","玉井區",NA,2638
"台南市","白河區",NA,4963
"台南市","西港區",NA,5837
"台南市","關廟區",NA,9529
"台南市","鹽水區",NA,5695
"台南市","麻豆區",NA,11048
"台南市","龍崎區",NA,398
"台東縣","卑南鄉",NA,4719
"台東縣","台東市",NA,37830
"台東縣","大武鄉",NA,1117
"台東縣","太麻里鄉",NA,2721
"台東縣","延平鄉",NA,1158
"台東縣","成功鎮",NA,3226
"台東縣","東河鄉",NA,1775
"台東縣","池上鄉",NA,1711
"台東縣","海端鄉",NA,1428
"台東縣","綠島鄉",NA,886
"台東縣","蘭嶼鄉",NA,1469
"台東縣","達仁鄉",NA,857
"台東縣","金峰鄉",NA,1183
"台東縣","長濱鄉",NA,1227
"台東縣","關山鎮",NA,2085
"台東縣","鹿野鄉",NA,1807
"嘉義市","東區",NA,32238
"嘉義市","西區",NA,40031
"嘉義縣","中埔鄉",NA,11344
"嘉義縣","六腳鄉",NA,3969
"嘉義縣","大埔鄉",NA,306
"嘉義縣","大林鎮",NA,7683
"嘉義縣","太保市",NA,10616
"嘉義縣","布袋鎮",NA,3676
"嘉義縣","新港鄉",NA,6396
"嘉義縣","朴子市",NA,10061
"嘉義縣","東石鄉",NA,3092
"嘉義縣","梅山鄉",NA,3115
"嘉義縣","民雄鄉",NA,21905
"嘉義縣","水上鄉",NA,13410
"嘉義縣","溪口鄉",NA,2803
"嘉義縣","番路鄉",NA,2022
"嘉義縣","竹崎鄉",NA,7137
"嘉義縣","義竹鄉",NA,2131
"嘉義縣","阿里山鄉",NA,1404
"嘉義縣","鹿草鄉",NA,2885
"基隆市","七堵區",NA,21231
"基隆市","中山區",NA,16953
"基隆市","中正區",NA,20640
"基隆市","仁愛區",NA,14131
"基隆市","信義區",NA,21324
"基隆市","其他",NA,1
"基隆市","安樂區",NA,34003
"基隆市","暖暖區",NA,15283
"宜蘭縣","三星鄉",NA,6962
"宜蘭縣","五結鄉",NA,14726
"宜蘭縣","冬山鄉",NA,20304
"宜蘭縣","南澳鄉",NA,2825
"宜蘭縣","員山鄉",NA,10976
"宜蘭縣","壯圍鄉",NA,7728
"宜蘭縣","大同鄉",NA,2180
"宜蘭縣","宜蘭市",NA,33577
"宜蘭縣","礁溪鄉",NA,12248
"宜蘭縣","羅東鎮",NA,23174
"宜蘭縣","蘇澳鎮",NA,13287
"宜蘭縣","頭城鎮",NA,8262
"屏東縣","三地門鄉",NA,2289
"屏東縣","九如鄉",NA,5676
"屏東縣","佳冬鄉",NA,3455
"屏東縣","來義鄉",NA,2678
"屏東縣","內埔鄉",NA,15722
"屏東縣","南州鄉",NA,2276
"屏東縣","屏東市",NA,56168
"屏東縣","崁頂鄉",NA,2612
"屏東縣","恆春鎮",NA,8292
"屏東縣","新園鄉",NA,9028
"屏東縣","新埤鄉",NA,2102
"屏東縣","春日鄉",NA,1728
"屏東縣","東港鎮",NA,13437
"屏東縣","枋寮鄉",NA,5703
"屏東縣","枋山鄉",NA,858
"屏東縣","林邊鄉",NA,3440
"屏東縣","泰武鄉",NA,2246
"屏東縣","滿州鄉",NA,1183
"屏東縣","潮州鎮",NA,15654
"屏東縣","牡丹鄉",NA,1440
"屏東縣","獅子鄉",NA,1444
"屏東縣","琉球鄉",NA,2230
"屏東縣","瑪家鄉",NA,2628
"屏東縣","竹田鄉",NA,5130
"屏東縣","萬丹鄉",NA,14204
"屏東縣","萬巒鄉",NA,4443
"屏東縣","車城鄉",NA,1807
"屏東縣","里港鄉",NA,5884
"屏東縣","長治鄉",NA,9255
"屏東縣","霧台鄉",NA,569
"屏東縣","高樹鄉",NA,4123
"屏東縣","鹽埔鄉",NA,6105
"屏東縣","麟洛鄉",NA,2790
"彰化縣","二林鎮",NA,12682
"彰化縣","二水鄉",NA,3096
"彰化縣","伸港鄉",NA,11673
"彰化縣","北斗鎮",NA,9319
"彰化縣","和美鎮",NA,30363
"彰化縣","員林市",NA,35726
"彰化縣","埔心鄉",NA,10389
"彰化縣","埔鹽鄉",NA,7870
"彰化縣","埤頭鄉",NA,7303
"彰化縣","大城鄉",NA,2900
"彰化縣","大村鄉",NA,12404
"彰化縣","彰化市",NA,71233
