"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,21
"台中市",NA,151
"台北市",NA,3183
"台南市",NA,33
"台東縣",NA,21
"嘉義市",NA,7
"嘉義縣",NA,12
"基隆市",NA,162
"宜蘭縣",NA,73
"屏東縣",NA,27
"彰化縣",NA,194
"新北市",NA,4233
"新竹市",NA,23
"新竹縣",NA,23
"桃園市",NA,435
"澎湖縣",NA,2
"空值",1196,NA
"花蓮縣",NA,37
"苗栗縣",NA,71
"連江縣",NA,4
"雲林縣",NA,11
"高雄市",NA,54
