EventName,EventDateTime,Magnitude,EQ_WGS84_Lon,EQ_WGS84_Lat,Depth,WGS84_Lon,WGS84_Lat,PGA,PGV,Intensity
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.73,0.22,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.755,0.26,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.78,0.3,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.805,0.33,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.83,0.37,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.855,0.4,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.88,0.44,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.905,0.47,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.93,0.5,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.955,0.53,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,22.98,0.56,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.005,0.59,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.03,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.055,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.08,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.105,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.13,0.69,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.155,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.18,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.205,0.72,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.23,0.72,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.255,0.72,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.28,0.72,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.305,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.33,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.355,0.7,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.38,0.69,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.405,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.43,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.455,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.48,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.505,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.53,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.555,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.58,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.605,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.63,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.655,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.68,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.705,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.73,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.755,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.78,0.61,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.805,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.83,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.855,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.26,23.88,0.62,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.58,0.04,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.605,0.07,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.63,0.1,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.655,0.13,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.68,0.17,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.705,0.21,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.73,0.24,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.755,0.28,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.78,0.32,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.805,0.36,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.83,0.4,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.855,0.43,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.88,0.47,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.905,0.51,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.93,0.54,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.955,0.58,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,22.98,0.61,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.005,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.03,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.055,0.69,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.08,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.105,0.73,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.13,0.75,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.155,0.76,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.18,0.77,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.205,0.77,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.23,0.77,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.255,0.77,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.28,0.77,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.305,0.76,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.33,0.75,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.355,0.74,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.38,0.73,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.405,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.43,0.7,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.455,0.69,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.48,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.505,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.53,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.555,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.58,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.605,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.63,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.655,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.68,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.705,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.73,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.755,0.63,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.78,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.805,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.83,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.855,0.64,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.88,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.285,23.905,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.53,0,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.555,0.01,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.58,0.04,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.605,0.08,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.63,0.11,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.655,0.15,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.68,0.19,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.705,0.22,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.73,0.26,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.755,0.3,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.78,0.35,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.805,0.39,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.83,0.43,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.855,0.47,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.88,0.51,0,0
