"section_name","web_list","web_content","inc_type_name","inc_name","inc_time","incidentid","freewayid","expresswayid","directionid","inc_location","from_milepost","to_milepost","interchange","inc_blockage","inc_severity","inc_notify_time","inc_notify_mode","inc_end_time","inc_stepno","inc_step_time","area","latitude","longitude"
"安定(311) - 台南系統(315)","國道1號北向315km","國道1號北向315km=>313km 施工維護","施工事件","施工維護","2020-06-29 10:02:00","20200629100250948400021","1","0","4",NA,315000,313000,NA,"22222222222222222222","1","2020-06-29 10:02:00","施工通報APP",NA,"1","2020-06-29 10:02:00","S","23.08400376","120.25165110"
"安定(311) - 安定(311)","國道1號南向311.1km","國道1號南向311.1km=>311.1km 施工維護","施工事件","施工維護","2020-07-02 09:31:00","20200702093105648400021","1","0","3",NA,311100,311100,NA,"00000000010000000000","1","2020-07-02 09:31:00","施工通報APP",NA,"1","2020-07-02 09:31:00","S","23.11828362","120.24332110"
"高架楊梅端(71) - 湖口(83)","國道1號南向71.7km","國道1號南向71.7km=>71.7km 散落物","散落物","散落物","2020-07-11 07:40:00","202007110740540023","1","0","3",NA,71700,71700,NA,"00000001","1","2020-07-11 07:40:00","電話查詢",NA,"1","2020-07-11 07:40:00","N","24.89849145","121.14428600"
"新營服務區(284) - 下營系統(299)","國道1號北向293.48km","國道1號北向293.48km=>288.1km 移動性施工","施工事件","移動性施工","2020-07-11 07:50:00","20200711074921549400045","1","0","4",NA,293483,288100,NA,"00000000010000000000","0","2020-07-11 07:50:00","施工通報APP",NA,"1","2020-07-11 07:50:00","S","23.27018694","120.26425290"
"汐止端(13) - 堤頂(18)","國1高架南向16km","國1高架南向16km=>16km 散落物","散落物","散落物","2020-07-11 07:47:00","202007110747140023","N1H","0","3",NA,16000,16000,NA,"00000001","1","2020-07-11 07:47:00","1968",NA,"1","2020-07-11 07:47:00","N","25.06422172","121.60240990"
"古坑系統(269) - 古坑服務區(276)","國道3號南向270km","國道3號南向270km=>275km 移動性施工","施工事件","移動性施工","2020-07-11 07:50:00","20200711074927041400045","3","0","3",NA,270000,275000,NA,"00000000010000000000","0","2020-07-11 07:50:00","施工通報APP",NA,"1","2020-07-11 07:50:00","S","23.65735338","120.57223290"
"左營端(0) - 左營端(0)","國道10號東向0km","國道10號東向0km=>0km 長期性施工","施工事件","長期性施工","2020-02-13 21:57:00","20200213220026334400047","10","0","1",NA,0,0,"左營端東向入口","2222222222","1","2020-05-12 15:07:00",NA,NA,"11","2020-05-12 15:07:02","S","22.68015865","120.31189850"
"瑞濱端(19) - 瑞濱端(19)","快速公路62號東向18.76km","快速公路62號東向18.76km=>18.76km 出口匝道壅塞","交通壅塞","出口匝道壅塞","2020-07-11 07:49:00","202007110749010001","0","62","1",NA,18760,18760,"瑞濱端東向出口","0000000","2","2020-07-11 07:49:00","偵測器(出口匝道)",NA,"1","2020-07-11 07:49:00","N","0.00000000","0.00000000"
