"縣市","Sum_Inter","Sum_Local"
"南投縣",1,1
"台中市",22,4
"台北市",60,3
"台南市",10,1
"嘉義市",1,NA
"基隆市",2,NA
"宜蘭縣",1,NA
"屏東縣",5,NA
"彰化縣",6,4
"新北市",45,14
"新竹市",5,1
"新竹縣",4,NA
"桃園市",14,10
"苗栗縣",3,NA
"雲林縣",3,NA
"高雄市",15,NA
