"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,1402
"南投縣","仁愛鄉",NA,3352
"南投縣","信義鄉",NA,3213
"南投縣","南投市",NA,19367
"南投縣","名間鄉",NA,5384
"南投縣","國姓鄉",NA,1907
"南投縣","埔里鎮",NA,13125
"南投縣","水里鄉",NA,1852
"南投縣","竹山鎮",NA,7940
"南投縣","草屯鎮",NA,17760
"南投縣","集集鎮",NA,1138
"南投縣","魚池鄉",NA,1325
"南投縣","鹿谷鄉",NA,1787
"台中市","中區",NA,3337
"台中市","北區",NA,30404
"台中市","北屯區",NA,55785
"台中市","南區",NA,26794
"台中市","南屯區",NA,35821
"台中市","后里區",NA,9601
"台中市","和平區",NA,1629
"台中市","外埔區",NA,6316
"台中市","大安區",NA,3350
"台中市","大甲區",NA,14599
"台中市","大肚區",NA,11639
"台中市","大里區",NA,44589
"台中市","大雅區",NA,21827
"台中市","太平區",NA,41249
"台中市","新社區",NA,2808
"台中市","東勢區",NA,7251
"台中市","東區",NA,16144
"台中市","梧棲區",NA,14866
"台中市","沙鹿區",NA,22810
"台中市","清水區",NA,18346
"台中市","潭子區",NA,21836
"台中市","烏日區",NA,17255
"台中市","石岡區",NA,2156
"台中市","神岡區",NA,13623
"台中市","西區",NA,21316
"台中市","西屯區",NA,51411
"台中市","豐原區",NA,30569
"台中市","霧峰區",NA,13977
"台中市","龍井區",NA,16939
"台北市","中山區",NA,44371
"台北市","中正區",NA,23230
"台北市","信義區",NA,43467
"台北市","內湖區",NA,51762
"台北市","北投區",NA,49513
"台北市","南港區",NA,25106
"台北市","士林區",NA,50407
"台北市","大同區",NA,24771
"台北市","大安區",NA,41924
"台北市","文山區",NA,50722
"台北市","松山區",NA,32723
"台北市","萬華區",NA,42212
"台南市","七股區",NA,2675
"台南市","下營區",NA,3137
"台南市","中西區",NA,12464
"台南市","仁德區",NA,16969
"台南市","佳里區",NA,9137
"台南市","六甲區",NA,3548
"台南市","北區",NA,24173
"台南市","北門區",NA,820
"台南市","南化區",NA,760
"台南市","南區",NA,24047
"台南市","善化區",NA,10170
"台南市","大內區",NA,1048
"台南市","學甲區",NA,3202
"台南市","安南區",NA,39433
"台南市","安定區",NA,5425
"台南市","安平區",NA,12395
"台南市","官田區",NA,3494
"台南市","將軍區",NA,1922
"台南市","山上區",NA,1467
"台南市","左鎮區",NA,509
"台南市","後壁區",NA,2802
"台南市","新化區",NA,8101
"台南市","新市區",NA,8746
"台南市","新營區",NA,13274
"台南市","東區",NA,31110
"台南市","東山區",NA,1996
"台南市","柳營區",NA,3791
"台南市","楠西區",NA,856
"台南市","歸仁區",NA,13606
"台南市","永康區",NA,54001
"台南市","玉井區",NA,1906
"台南市","白河區",NA,3274
"台南市","西港區",NA,3954
"台南市","關廟區",NA,6730
"台南市","鹽水區",NA,3813
"台南市","麻豆區",NA,6905
"台南市","龍崎區",NA,292
"台東縣","卑南鄉",NA,3280
"台東縣","台東市",NA,25558
"台東縣","大武鄉",NA,789
"台東縣","太麻里鄉",NA,1887
"台東縣","延平鄉",NA,960
"台東縣","成功鎮",NA,2303
"台東縣","東河鄉",NA,1183
