"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,26
"台中市",NA,167
"台北市",NA,3474
"台南市",NA,34
"台東縣",NA,21
"嘉義市",NA,7
"嘉義縣",NA,16
"基隆市",NA,176
"宜蘭縣",NA,74
"屏東縣",NA,32
"彰化縣",NA,211
"新北市",NA,4696
"新竹市",NA,26
"新竹縣",NA,31
"桃園市",NA,463
"澎湖縣",NA,2
"空值",1198,NA
"花蓮縣",NA,38
"苗栗縣",NA,188
"連江縣",NA,4
"雲林縣",NA,13
"高雄市",NA,58
