"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,16
"台中市",NA,86
"台北市",NA,2343
"台南市",NA,27
"台東縣",NA,8
"嘉義市",NA,7
"嘉義縣",NA,1
"基隆市",NA,103
"宜蘭縣",NA,61
"屏東縣",NA,27
"彰化縣",NA,137
"新北市",NA,2912
"新竹市",NA,17
"新竹縣",NA,17
"桃園市",NA,288
"空值",1180,NA
"花蓮縣",NA,21
"苗栗縣",NA,8
"連江縣",NA,3
"雲林縣",NA,10
"高雄市",NA,44
