"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,1496
"南投縣","仁愛鄉",NA,3495
"南投縣","信義鄉",NA,3379
"南投縣","南投市",NA,20622
"南投縣","名間鄉",NA,5682
"南投縣","國姓鄉",NA,2009
"南投縣","埔里鎮",NA,13891
"南投縣","水里鄉",NA,1997
"南投縣","竹山鎮",NA,8539
"南投縣","草屯鎮",NA,18828
"南投縣","集集鎮",NA,1217
"南投縣","魚池鄉",NA,1432
"南投縣","鹿谷鄉",NA,1914
"台中市","中區",NA,3491
"台中市","北區",NA,32775
"台中市","北屯區",NA,60163
"台中市","南區",NA,28754
"台中市","南屯區",NA,38385
"台中市","后里區",NA,10193
"台中市","和平區",NA,1746
"台中市","外埔區",NA,6740
"台中市","大安區",NA,3515
"台中市","大甲區",NA,15365
"台中市","大肚區",NA,12245
"台中市","大里區",NA,47282
"台中市","大雅區",NA,23041
"台中市","太平區",NA,43954
"台中市","新社區",NA,3060
"台中市","東勢區",NA,7759
"台中市","東區",NA,17147
"台中市","梧棲區",NA,15495
"台中市","沙鹿區",NA,24038
"台中市","清水區",NA,19270
"台中市","潭子區",NA,23117
"台中市","烏日區",NA,18313
"台中市","石岡區",NA,2312
"台中市","神岡區",NA,14452
"台中市","西區",NA,22722
"台中市","西屯區",NA,55049
"台中市","豐原區",NA,32582
"台中市","霧峰區",NA,14662
"台中市","龍井區",NA,17945
"台北市","中山區",NA,47830
"台北市","中正區",NA,25090
"台北市","信義區",NA,46761
"台北市","內湖區",NA,56246
"台北市","北投區",NA,52995
"台北市","南港區",NA,26947
"台北市","士林區",NA,54587
"台北市","大同區",NA,26350
"台北市","大安區",NA,45775
"台北市","文山區",NA,54838
"台北市","松山區",NA,35408
"台北市","萬華區",NA,44361
"台南市","七股區",NA,2834
"台南市","下營區",NA,3330
"台南市","中西區",NA,13157
"台南市","仁德區",NA,17889
"台南市","佳里區",NA,9696
"台南市","六甲區",NA,3704
"台南市","北區",NA,25631
"台南市","北門區",NA,857
"台南市","南化區",NA,795
"台南市","南區",NA,25289
"台南市","善化區",NA,10878
"台南市","大內區",NA,1090
"台南市","學甲區",NA,3391
"台南市","安南區",NA,41607
"台南市","安定區",NA,5671
"台南市","安平區",NA,13137
"台南市","官田區",NA,3660
"台南市","將軍區",NA,2036
"台南市","山上區",NA,1509
"台南市","左鎮區",NA,536
"台南市","後壁區",NA,2983
"台南市","新化區",NA,8609
"台南市","新市區",NA,9217
"台南市","新營區",NA,13990
"台南市","東區",NA,33199
"台南市","東山區",NA,2135
"台南市","柳營區",NA,4021
"台南市","楠西區",NA,893
"台南市","歸仁區",NA,14217
"台南市","永康區",NA,56984
"台南市","玉井區",NA,1969
"台南市","白河區",NA,3466
"台南市","西港區",NA,4151
"台南市","關廟區",NA,7084
"台南市","鹽水區",NA,4032
"台南市","麻豆區",NA,7256
"台南市","龍崎區",NA,301
"台東縣","卑南鄉",NA,3461
"台東縣","台東市",NA,27330
"台東縣","大武鄉",NA,872
"台東縣","太麻里鄉",NA,1988
"台東縣","延平鄉",NA,1012
"台東縣","成功鎮",NA,2412
"台東縣","東河鄉",NA,1300
"台東縣","池上鄉",NA,1171
"台東縣","海端鄉",NA,1220
"台東縣","綠島鄉",NA,736
"台東縣","蘭嶼鄉",NA,1281
"台東縣","達仁鄉",NA,679
"台東縣","金峰鄉",NA,857
"台東縣","長濱鄉",NA,937
"台東縣","關山鎮",NA,1492
"台東縣","鹿野鄉",NA,1413
"嘉義市","東區",NA,21083
"嘉義市","西區",NA,26704
"嘉義縣","中埔鄉",NA,7285
"嘉義縣","六腳鄉",NA,2671
"嘉義縣","大埔鄉",NA,234
"嘉義縣","大林鎮",NA,5360
"嘉義縣","太保市",NA,7141
"嘉義縣","布袋鎮",NA,2710
"嘉義縣","新港鄉",NA,4428
"嘉義縣","朴子市",NA,6725
"嘉義縣","東石鄉",NA,2097
"嘉義縣","梅山鄉",NA,2045
"嘉義縣","民雄鄉",NA,14065
"嘉義縣","水上鄉",NA,9287
"嘉義縣","溪口鄉",NA,1789
"嘉義縣","番路鄉",NA,1366
"嘉義縣","竹崎鄉",NA,4528
"嘉義縣","義竹鄉",NA,1440
"嘉義縣","阿里山鄉",NA,1011
"嘉義縣","鹿草鄉",NA,2001
"基隆市","七堵區",NA,15300
"基隆市","中山區",NA,12267
"基隆市","中正區",NA,15034
"基隆市","仁愛區",NA,10581
"基隆市","信義區",NA,15241
"基隆市","其他",NA,1
"基隆市","安樂區",NA,23918
"基隆市","暖暖區",NA,10678
"宜蘭縣","三星鄉",NA,4565
"宜蘭縣","五結鄉",NA,9615
"宜蘭縣","冬山鄉",NA,13591
"宜蘭縣","南澳鄉",NA,2439
"宜蘭縣","員山鄉",NA,7495
"宜蘭縣","壯圍鄉",NA,5126
"宜蘭縣","大同鄉",NA,1853
"宜蘭縣","宜蘭市",NA,22308
"宜蘭縣","礁溪鄉",NA,8363
"宜蘭縣","羅東鎮",NA,15381
