"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,20
"台中市",NA,133
"台北市",NA,2718
"台南市",NA,29
"台東縣",NA,14
"嘉義市",NA,7
"嘉義縣",NA,8
"基隆市",NA,131
"宜蘭縣",NA,67
"屏東縣",NA,27
"彰化縣",NA,157
"新北市",NA,3495
"新竹市",NA,21
"新竹縣",NA,20
"桃園市",NA,357
"澎湖縣",NA,1
"空值",1190,NA
"花蓮縣",NA,32
"苗栗縣",NA,23
"連江縣",NA,4
"雲林縣",NA,11
"高雄市",NA,47
