"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,1982
"南投縣","仁愛鄉",NA,4106
"南投縣","信義鄉",NA,4215
"南投縣","南投市",NA,27682
"南投縣","名間鄉",NA,7821
"南投縣","國姓鄉",NA,2668
"南投縣","埔里鎮",NA,18346
"南投縣","水里鄉",NA,3063
"南投縣","竹山鎮",NA,11393
"南投縣","草屯鎮",NA,26094
"南投縣","集集鎮",NA,1756
"南投縣","魚池鄉",NA,2167
"南投縣","鹿谷鄉",NA,2591
"台中市","中區",NA,4431
"台中市","北區",NA,45381
"台中市","北屯區",NA,83985
"台中市","南區",NA,40155
"台中市","南屯區",NA,53540
"台中市","后里區",NA,14138
"台中市","和平區",NA,2152
"台中市","外埔區",NA,9258
"台中市","大安區",NA,4757
"台中市","大甲區",NA,20156
"台中市","大肚區",NA,16197
"台中市","大里區",NA,63318
"台中市","大雅區",NA,30530
"台中市","太平區",NA,58671
"台中市","新社區",NA,4327
"台中市","東勢區",NA,11164
"台中市","東區",NA,22689
"台中市","梧棲區",NA,19684
"台中市","沙鹿區",NA,32655
"台中市","清水區",NA,25587
"台中市","潭子區",NA,31944
"台中市","烏日區",NA,24309
"台中市","石岡區",NA,3082
"台中市","神岡區",NA,19019
"台中市","西區",NA,31318
"台中市","西屯區",NA,75639
"台中市","豐原區",NA,44293
"台中市","霧峰區",NA,19398
"台中市","龍井區",NA,23658
"台北市","中山區",NA,66083
"台北市","中正區",NA,35200
"台北市","信義區",NA,64011
"台北市","內湖區",NA,79313
"台北市","北投區",NA,70969
"台北市","南港區",NA,36487
"台北市","士林區",NA,75171
"台北市","大同區",NA,35173
"台北市","大安區",NA,65716
"台北市","文山區",NA,76737
"台北市","松山區",NA,50094
"台北市","萬華區",NA,56025
"台南市","七股區",NA,3472
"台南市","下營區",NA,4241
"台南市","中西區",NA,16855
"台南市","仁德區",NA,22869
"台南市","佳里區",NA,12432
"台南市","六甲區",NA,4861
"台南市","北區",NA,33256
"台南市","北門區",NA,1118
"台南市","南化區",NA,1037
"台南市","南區",NA,31678
"台南市","善化區",NA,14700
"台南市","大內區",NA,1368
"台南市","學甲區",NA,4423
"台南市","安南區",NA,52684
"台南市","安定區",NA,7141
"台南市","安平區",NA,17180
"台南市","官田區",NA,4875
"台南市","將軍區",NA,2679
"台南市","山上區",NA,1765
"台南市","左鎮區",NA,644
"台南市","後壁區",NA,4064
"台南市","新化區",NA,10790
"台南市","新市區",NA,12193
"台南市","新營區",NA,18818
"台南市","東區",NA,44155
"台南市","東山區",NA,3009
"台南市","柳營區",NA,5033
"台南市","楠西區",NA,1186
"台南市","歸仁區",NA,18222
"台南市","永康區",NA,72556
