"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,31
"台中市",NA,178
"台北市",NA,3935
"台南市",NA,40
"台東縣",NA,22
"嘉義市",NA,9
"嘉義縣",NA,17
"基隆市",NA,249
"宜蘭縣",NA,92
"屏東縣",NA,33
"彰化縣",NA,250
"新北市",NA,5634
"新竹市",NA,35
"新竹縣",NA,53
"桃園市",NA,574
"澎湖縣",NA,5
"空值",1208,NA
"花蓮縣",NA,51
"苗栗縣",NA,420
"連江縣",NA,4
"雲林縣",NA,19
"高雄市",NA,62
