"縣市","鄉鎮","Sum_Local.x"
"南投縣","中寮鄉",52
"南投縣","仁愛鄉",194
"南投縣","信義鄉",118
"南投縣","南投市",1132
"南投縣","名間鄉",228
"南投縣","國姓鄉",63
"南投縣","埔里鎮",553
"南投縣","水里鄉",58
"南投縣","竹山鎮",389
"南投縣","草屯鎮",635
"南投縣","集集鎮",33
"南投縣","魚池鄉",28
"南投縣","鹿谷鄉",62
"台中市","中區",333
"台中市","北區",2970
"台中市","北屯區",4540
"台中市","南區",1826
"台中市","南屯區",2637
"台中市","后里區",432
"台中市","和平區",76
"台中市","外埔區",194
"台中市","大安區",105
"台中市","大甲區",811
"台中市","大肚區",527
"台中市","大里區",3466
"台中市","大雅區",1203
"台中市","太平區",3372
"台中市","新社區",93
"台中市","東勢區",317
"台中市","東區",1117
"台中市","梧棲區",1012
"台中市","沙鹿區",1529
"台中市","清水區",1221
"台中市","潭子區",1301
"台中市","烏日區",1079
"台中市","石岡區",49
"台中市","神岡區",714
"台中市","西區",1620
"台中市","西屯區",4892
"台中市","豐原區",2080
"台中市","霧峰區",731
"台中市","龍井區",1136
"台北市","中山區",9860
"台北市","中正區",3957
"台北市","信義區",8404
"台北市","內湖區",10918
"台北市","北投區",10162
"台北市","南港區",4338
"台北市","士林區",10176
"台北市","大同區",4721
"台北市","大安區",9547
"台北市","文山區",10727
"台北市","松山區",6693
"台北市","萬華區",10997
"台南市","七股區",111
"台南市","下營區",127
"台南市","中西區",741
"台南市","仁德區",1144
"台南市","佳里區",473
"台南市","六甲區",145
"台南市","北區",1707
"台南市","北門區",39
"台南市","南化區",25
"台南市","南區",1654
"台南市","善化區",650
"台南市","大內區",48
"台南市","學甲區",154
"台南市","安南區",2669
"台南市","安定區",276
"台南市","安平區",730
"台南市","官田區",132
"台南市","將軍區",82
"台南市","山上區",55
"台南市","左鎮區",34
"台南市","後壁區",86
"台南市","新化區",639
"台南市","新市區",576
"台南市","新營區",710
"台南市","東區",2436
"台南市","東山區",74
"台南市","柳營區",223
"台南市","楠西區",22
"台南市","歸仁區",801
"台南市","永康區",6145
"台南市","玉井區",56
"台南市","白河區",96
"台南市","西港區",175
"台南市","關廟區",377
"台南市","鹽水區",130
"台南市","麻豆區",366
"台南市","龍崎區",12
"台東縣","卑南鄉",147
"台東縣","台東市",1439
"台東縣","大武鄉",36
"台東縣","太麻里鄉",94
"台東縣","延平鄉",37
"台東縣","成功鎮",113
"台東縣","東河鄉",57
"台東縣","池上鄉",33
"台東縣","海端鄉",42
"台東縣","綠島鄉",19
"台東縣","蘭嶼鄉",66
"台東縣","達仁鄉",16
"台東縣","金峰鄉",31
"台東縣","長濱鄉",56
"台東縣","關山鎮",59
"台東縣","鹿野鄉",37
"嘉義市","東區",843
"嘉義市","西區",938
"嘉義縣","中埔鄉",240
"嘉義縣","六腳鄉",92
"嘉義縣","大埔鄉",9
"嘉義縣","大林鎮",200
"嘉義縣","太保市",260
"嘉義縣","布袋鎮",81
"嘉義縣","新港鄉",116
"嘉義縣","朴子市",179
"嘉義縣","東石鄉",34
"嘉義縣","梅山鄉",75
"嘉義縣","民雄鄉",526
"嘉義縣","水上鄉",388
"嘉義縣","溪口鄉",42
"嘉義縣","番路鄉",29
"嘉義縣","竹崎鄉",116
"嘉義縣","義竹鄉",40
"嘉義縣","阿里山鄉",28
"嘉義縣","鹿草鄉",117
"基隆市","七堵區",1381
"基隆市","中山區",1234
"基隆市","中正區",1852
"基隆市","仁愛區",1078
"基隆市","信義區",1683
"基隆市","安樂區",3146
"基隆市","暖暖區",857
"宜蘭縣","三星鄉",330
"宜蘭縣","五結鄉",717
"宜蘭縣","冬山鄉",1036
"宜蘭縣","南澳鄉",136
"宜蘭縣","員山鄉",570
"宜蘭縣","壯圍鄉",317
"宜蘭縣","大同鄉",179
"宜蘭縣","宜蘭市",2323
"宜蘭縣","礁溪鄉",683
"宜蘭縣","羅東鎮",1818
"宜蘭縣","蘇澳鎮",1130
"宜蘭縣","頭城鎮",324
"屏東縣","三地門鄉",84
"屏東縣","九如鄉",149
"屏東縣","佳冬鄉",94
"屏東縣","來義鄉",102
"屏東縣","內埔鄉",598
"屏東縣","南州鄉",50
"屏東縣","屏東市",2912
"屏東縣","崁頂鄉",67
"屏東縣","恆春鎮",203
"屏東縣","新園鄉",423
"屏東縣","新埤鄉",65
"屏東縣","春日鄉",38
"屏東縣","東港鎮",570
"屏東縣","枋寮鄉",156
"屏東縣","枋山鄉",14
"屏東縣","林邊鄉",68
"屏東縣","泰武鄉",65
"屏東縣","滿州鄉",43
"屏東縣","潮州鎮",603
"屏東縣","牡丹鄉",33
"屏東縣","獅子鄉",32
"屏東縣","琉球鄉",23
"屏東縣","瑪家鄉",87
"屏東縣","竹田鄉",84
"屏東縣","萬丹鄉",441
"屏東縣","萬巒鄉",114
"屏東縣","車城鄉",39
"屏東縣","里港鄉",172
"屏東縣","長治鄉",339
"屏東縣","霧台鄉",6
"屏東縣","高樹鄉",96
"屏東縣","鹽埔鄉",200
"屏東縣","麟洛鄉",84
"彰化縣","二林鎮",447
"彰化縣","二水鄉",52
"彰化縣","伸港鄉",227
"彰化縣","北斗鎮",268
"彰化縣","和美鎮",692
"彰化縣","員林市",1020
"彰化縣","埔心鄉",234
"彰化縣","埔鹽鄉",114
"彰化縣","埤頭鄉",174
"彰化縣","大城鄉",134
"彰化縣","大村鄉",307
"彰化縣","彰化市",2388
"彰化縣","永靖鄉",173
"彰化縣","溪州鄉",121
"彰化縣","溪湖鎮",295
"彰化縣","田中鎮",209
"彰化縣","田尾鄉",93
"彰化縣","社頭鄉",225
"彰化縣","福興鄉",358
"彰化縣","秀水鄉",235
"彰化縣","竹塘鄉",56
"彰化縣","線西鄉",82
"彰化縣","芬園鄉",167
"彰化縣","花壇鄉",314
"彰化縣","芳苑鄉",221
"彰化縣","鹿港鎮",1060
"新北市","三峽區",3188
"新北市","三芝區",230
"新北市","三重區",34800
"新北市","中和區",31250
"新北市","五股區",3188
"新北市","八里區",817
"新北市","土城區",12254
"新北市","坪林區",36
"新北市","平溪區",26
"新北市","新店區",17407
"新北市","新莊區",28059
"新北市","板橋區",41499
"新北市","林口區",2963
"新北市","樹林區",7298
"新北市","永和區",10624
"新北市","汐止區",12980
"新北市","泰山區",2730
"新北市","淡水區",7130
"新北市","深坑區",463
"新北市","烏來區",52
"新北市","瑞芳區",584
"新北市","石碇區",36
"新北市","石門區",35
"新北市","萬里區",235
"新北市","蘆洲區",9506
"新北市","貢寮區",49
"新北市","金山區",203
"新北市","雙溪區",20
"新北市","鶯歌區",2453
"新竹市","北區",2807
"新竹市","東區",5467
"新竹市","香山區",1592
"新竹縣","五峰鄉",49
"新竹縣","北埔鄉",33
"新竹縣","寶山鄉",199
"新竹縣","尖石鄉",116
"新竹縣","峨眉鄉",29
"新竹縣","新埔鎮",280
"新竹縣","新豐鄉",1100
"新竹縣","橫山鄉",72
"新竹縣","湖口鄉",3262
"新竹縣","竹北市",4335
"新竹縣","竹東鎮",1436
"新竹縣","芎林鄉",181
"新竹縣","關西鎮",233
"桃園市","中壢區",19701
"桃園市","八德區",8383
"桃園市","大園區",2415
"桃園市","大溪區",2557
"桃園市","平鎮區",7767
"桃園市","復興區",222
"桃園市","新屋區",1096
"桃園市","桃園區",27588
"桃園市","楊梅區",6100
"桃園市","蘆竹區",7476
"桃園市","觀音區",1677
"桃園市","龍潭區",3101
"桃園市","龜山區",10280
"澎湖縣","七美鄉",10
"澎湖縣","望安鄉",10
"澎湖縣","湖西鄉",79
