"縣市","Sum_Inter","Sum_Local"
"南投縣",1,1
"台中市",35,5
"台北市",108,8
"台南市",15,1
"嘉義市",4,NA
"嘉義縣",2,NA
"基隆市",6,1
"宜蘭縣",2,NA
"屏東縣",12,NA
"彰化縣",14,4
"新北市",72,18
"新竹市",8,3
"新竹縣",6,NA
"桃園市",37,14
"苗栗縣",3,NA
"雲林縣",5,NA
"高雄市",44,NA
