EventName,EventDateTime,Magnitude,EQ_WGS84_Lon,EQ_WGS84_Lat,Depth,WGS84_Lon,WGS84_Lat,PGA,PGV,Intensity
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.035,23.055,1.39,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.035,23.08,1.5,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.035,23.105,1.62,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.035,23.13,1.73,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.03,1.28,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.055,1.39,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.08,1.51,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.105,1.65,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.13,1.78,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.155,1.9,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.06,23.18,1.98,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.03,1.26,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.055,1.38,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.08,1.51,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.105,1.66,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.13,1.82,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.155,1.97,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.18,2.04,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.205,2.06,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.23,2.09,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.255,2.12,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.28,2.16,0.2,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.085,23.305,2.22,0.3,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.11,23.005,1.13,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.11,23.03,1.23,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.11,23.055,1.35,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.11,23.08,1.49,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.11,23.105,1.64,0.1,1
花蓮秀林外海54.3km地震,2022-01-03T17:47:00,6,122.18,24.02,19.4,120.11,23.13,1.81,0.1,1
