"id","name_id","name","time","city","level","level_web","longitude","latitude","created_at","updated_at"
2219430,1,"東大門國際觀光夜市周邊","2020-05-04 13:20:00","花蓮縣","G","正常","121.61370000","23.97487000",NA,NA
2219431,2,"文賢商圈、花園夜市周邊","2020-05-04 13:20:00","臺南市","G","正常","120.19470000","23.01234000",NA,NA
2219432,3,"內灣老街周邊","2020-05-04 13:20:00","新竹縣","G","正常","121.18240000","24.70735000",NA,NA
2219433,4,"碧雲寺周邊","2020-05-04 13:20:00","屏東縣","G","正常","120.36850000","22.34034000",NA,NA
2219434,5,"湯圍溝公園大眾浴池周邊","2020-05-04 13:20:00","宜蘭縣","G","正常","121.77120000","24.82736000",NA,NA
2219435,6,"新天堂樂園周邊","2020-05-04 13:20:00","花蓮縣","G","正常","121.59390000","23.93883000",NA,NA
2219436,7,"建德宮周邊","2020-05-04 13:20:00","嘉義縣","G","正常","120.18250000","23.41862000",NA,NA
2219437,8,"赤崁樓、永樂市場、水仙宮市場周邊","2020-05-04 13:20:00","臺南市","G","正常","120.19970000","22.99430000",NA,NA
2219438,9,"南庄桂花巷、遊客中心周邊","2020-05-04 13:20:00","苗栗縣","G","正常","120.99960000","24.59912000",NA,NA
2219439,10,"竹圍漁港周邊","2020-05-04 13:20:00","桃園市","G","正常","121.24250000","25.11806000",NA,NA
2219440,11,"恆春老街周邊","2020-05-04 13:20:00","屏東縣","G","正常","120.74290000","22.00268000",NA,NA
2219441,12,"元長夜市周邊","2020-05-04 13:20:00","雲林縣","G","正常","120.31340000","23.64950000",NA,NA
2219442,13,"北投市場周邊","2020-05-04 13:20:00","臺北市","G","正常","121.50040000","25.13095000",NA,NA
2219443,14,"古坑綠色隧道周邊","2020-05-04 13:20:00","雲林縣","G","正常","120.53880000","23.65937000",NA,NA
2219444,15,"宜蘭火車站周邊","2020-05-04 13:20:00","宜蘭縣","G","正常","121.75590000","24.75521000",NA,NA
2219445,16,"台西夜市周邊","2020-05-04 13:20:00","雲林縣","G","正常","120.20040000","23.69862000",NA,NA
2219446,17,"十鼓仁糖文創園區、奇美博物館周邊","2020-05-04 13:20:00","臺南市","G","正常","120.22930000","22.94478000",NA,NA
2219447,18,"十七公里海岸風景區周邊","2020-05-04 13:20:00","新竹市","G","正常","120.92540000","24.84739000",NA,NA
2219448,19,"龍岡忠貞市場周邊","2020-05-04 13:20:00","桃園市","G","正常","121.25200000","24.92845000",NA,NA
2219449,20,"華泰名品城 GLORIA OUTLETS周邊","2020-05-04 13:20:00","桃園市","G","正常","121.21260000","25.01428000",NA,NA
2219450,21,"都蘭部落周邊","2020-05-04 13:20:00","臺東縣","G","正常","121.22370000","22.86973000",NA,NA
2219451,22,"墾丁大街周邊","2020-05-04 13:20:00","屏東縣","G","正常","120.80110000","21.94405000",NA,NA
2219452,23,"伊達邵商圈周邊","2020-05-04 13:20:00","南投縣","G","正常","120.93080000","23.84967000",NA,NA
2219453,24,"清境農場周邊","2020-05-04 13:20:00","南投縣","G","正常","121.16180000","24.05728000",NA,NA
2219454,25,"麗寶OUTLET MALL周邊","2020-05-04 13:20:00","臺中市","G","正常","120.69900000","24.32343000",NA,NA
2219455,26,"臺東觀光夜市周邊","2020-05-04 13:20:00","臺東縣","G","正常","121.15540000","22.75241000",NA,NA
2219456,27,"石門水庫周邊","2020-05-04 13:20:00","桃園市","G","正常","121.24190000","24.81561000",NA,NA
2219457,28,"屏東觀光夜市、千禧公園周邊","2020-05-04 13:20:00","屏東縣","G","正常","120.49350000","22.67944000",NA,NA
2219458,29,"新竹市立動物園周邊","2020-05-04 13:20:00","新竹市","G","正常","120.97980000","24.79775000",NA,NA
2219459,30,"奮起湖老街周邊","2020-05-04 13:20:00","嘉義縣","G","正常","120.69600000","23.50625000",NA,NA
2219460,31,"褒忠市場、褒忠夜市周邊","2020-05-04 13:20:00","雲林縣","G","正常","120.31320000","23.69465000",NA,NA
2219461,32,"墾丁大街周邊","2020-05-04 13:20:00","屏東縣","G","正常","120.79630000","21.94405000",NA,NA
2219462,33,"頑皮世界野生動物園周邊","2020-05-04 13:20:00","臺南市","G","正常","120.20780000","23.28330000",NA,NA
2219463,34,"永安海濱公園、新屋綠色走廊周邊","2020-05-04 13:20:00","桃園市","G","正常","121.01440000","24.98734000",NA,NA
2219464,35,"北勢寮公有零售市場周邊","2020-05-04 13:20:00","屏東縣","G","正常","120.60150000","22.35914000",NA,NA
