"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,31
"台中市",NA,186
"台北市",NA,4164
"台南市",NA,42
"台東縣",NA,22
"嘉義市",NA,9
"嘉義縣",NA,18
"基隆市",NA,277
"宜蘭縣",NA,93
"屏東縣",NA,33
"彰化縣",NA,254
"新北市",NA,6015
"新竹市",NA,35
"新竹縣",NA,71
"桃園市",NA,622
"澎湖縣",NA,5
"空值",1215,NA
"花蓮縣",NA,68
"苗栗縣",NA,524
"連江縣",NA,4
"雲林縣",NA,20
"高雄市",NA,63
