"縣市","鄉鎮","Sum_Local.x"
"南投縣","中寮鄉",9
"南投縣","仁愛鄉",28
"南投縣","信義鄉",20
"南投縣","南投市",300
"南投縣","名間鄉",62
"南投縣","國姓鄉",27
"南投縣","埔里鎮",244
"南投縣","水里鄉",31
"南投縣","竹山鎮",113
"南投縣","草屯鎮",348
"南投縣","集集鎮",16
"南投縣","魚池鄉",27
"南投縣","鹿谷鄉",25
"台中市","中區",49
"台中市","北區",703
"台中市","北屯區",1348
"台中市","南區",487
"台中市","南屯區",641
"台中市","后里區",137
"台中市","和平區",12
"台中市","外埔區",70
"台中市","大安區",26
"台中市","大甲區",149
"台中市","大肚區",121
"台中市","大里區",820
"台中市","大雅區",303
"台中市","太平區",678
"台中市","新社區",34
"台中市","東勢區",97
"台中市","東區",178
"台中市","梧棲區",181
"台中市","沙鹿區",336
"台中市","清水區",288
"台中市","潭子區",640
"台中市","烏日區",230
"台中市","石岡區",13
"台中市","神岡區",143
"台中市","西區",392
"台中市","西屯區",1349
"台中市","豐原區",486
"台中市","霧峰區",217
"台中市","龍井區",261
"台北市","中山區",809
"台北市","中正區",368
"台北市","信義區",574
"台北市","內湖區",924
"台北市","北投區",623
"台北市","南港區",371
"台北市","士林區",721
"台北市","大同區",315
"台北市","大安區",737
"台北市","文山區",775
"台北市","松山區",596
"台北市","萬華區",365
"台南市","七股區",39
"台南市","下營區",46
"台南市","中西區",163
"台南市","仁德區",238
"台南市","佳里區",119
"台南市","六甲區",35
"台南市","北區",423
"台南市","北門區",13
"台南市","南化區",6
"台南市","南區",302
"台南市","善化區",198
"台南市","大內區",8
"台南市","學甲區",40
"台南市","安南區",821
"台南市","安定區",77
"台南市","安平區",227
"台南市","官田區",46
"台南市","將軍區",23
"台南市","山上區",12
"台南市","左鎮區",3
"台南市","後壁區",69
"台南市","新化區",106
"台南市","新市區",130
"台南市","新營區",208
"台南市","東區",645
"台南市","東山區",38
"台南市","柳營區",59
"台南市","楠西區",6
"台南市","歸仁區",161
"台南市","永康區",1275
"台南市","玉井區",17
"台南市","白河區",42
"台南市","西港區",29
"台南市","關廟區",81
"台南市","鹽水區",39
"台南市","麻豆區",98
"台南市","龍崎區",1
"台東縣","卑南鄉",51
"台東縣","台東市",230
"台東縣","大武鄉",10
"台東縣","太麻里鄉",15
"台東縣","延平鄉",6
"台東縣","成功鎮",11
"台東縣","東河鄉",14
"台東縣","池上鄉",6
"台東縣","海端鄉",3
"台東縣","綠島鄉",4
"台東縣","蘭嶼鄉",6
"台東縣","達仁鄉",1
"台東縣","金峰鄉",2
"台東縣","長濱鄉",3
"台東縣","關山鎮",15
"台東縣","鹿野鄉",7
"嘉義市","東區",327
"嘉義市","西區",421
"嘉義縣","中埔鄉",136
"嘉義縣","六腳鄉",30
"嘉義縣","大埔鄉",5
"嘉義縣","大林鎮",75
"嘉義縣","太保市",86
"嘉義縣","布袋鎮",25
"嘉義縣","新港鄉",36
"嘉義縣","朴子市",87
"嘉義縣","東石鄉",18
"嘉義縣","梅山鄉",19
"嘉義縣","民雄鄉",281
"嘉義縣","水上鄉",87
"嘉義縣","溪口鄉",29
"嘉義縣","番路鄉",14
"嘉義縣","竹崎鄉",37
"嘉義縣","義竹鄉",11
"嘉義縣","阿里山鄉",13
"嘉義縣","鹿草鄉",27
"基隆市","七堵區",130
"基隆市","中山區",55
"基隆市","中正區",97
"基隆市","仁愛區",55
"基隆市","信義區",86
"基隆市","安樂區",183
"基隆市","暖暖區",74
"宜蘭縣","三星鄉",33
"宜蘭縣","五結鄉",82
"宜蘭縣","冬山鄉",102
"宜蘭縣","南澳鄉",11
"宜蘭縣","員山鄉",56
"宜蘭縣","壯圍鄉",48
"宜蘭縣","大同鄉",5
"宜蘭縣","宜蘭市",231
"宜蘭縣","礁溪鄉",57
"宜蘭縣","羅東鎮",153
"宜蘭縣","蘇澳鎮",61
"宜蘭縣","頭城鎮",55
"屏東縣","三地門鄉",20
"屏東縣","九如鄉",63
"屏東縣","佳冬鄉",27
"屏東縣","來義鄉",12
"屏東縣","內埔鄉",183
"屏東縣","南州鄉",25
"屏東縣","屏東市",733
"屏東縣","崁頂鄉",19
"屏東縣","恆春鎮",61
"屏東縣","新園鄉",50
"屏東縣","新埤鄉",10
