"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,1
"南投縣","仁愛鄉",NA,1
"南投縣","信義鄉",NA,3
"南投縣","南投市",NA,41
"南投縣","名間鄉",NA,18
"南投縣","國姓鄉",NA,1
"南投縣","埔里鎮",NA,12
"南投縣","水里鄉",NA,3
"南投縣","竹山鎮",NA,12
"南投縣","草屯鎮",NA,28
"南投縣","集集鎮",NA,2
"南投縣","魚池鄉",NA,1
"南投縣","鹿谷鄉",NA,1
"台中市","中區",NA,13
"台中市","北區",NA,81
"台中市","北屯區",NA,144
"台中市","南區",NA,62
"台中市","南屯區",NA,68
"台中市","后里區",NA,11
"台中市","和平區",NA,2
"台中市","外埔區",NA,6
"台中市","大安區",NA,1
"台中市","大甲區",NA,15
"台中市","大肚區",NA,13
"台中市","大里區",NA,84
"台中市","大雅區",NA,35
"台中市","太平區",NA,60
"台中市","新社區",NA,5
"台中市","東勢區",NA,28
"台中市","東區",NA,34
"台中市","梧棲區",NA,11
"台中市","沙鹿區",NA,32
"台中市","清水區",NA,27
"台中市","潭子區",NA,29
"台中市","烏日區",NA,20
"台中市","石岡區",NA,4
"台中市","神岡區",NA,4
"台中市","西區",NA,47
"台中市","西屯區",NA,148
"台中市","豐原區",NA,29
"台中市","霧峰區",NA,44
"台中市","龍井區",NA,31
"台北市","中山區",NA,995
"台北市","中正區",NA,521
"台北市","信義區",NA,742
"台北市","內湖區",NA,574
"台北市","北投區",NA,648
"台北市","南港區",NA,335
"台北市","士林區",NA,799
"台北市","大同區",NA,633
"台北市","大安區",NA,807
"台北市","文山區",NA,753
"台北市","松山區",NA,493
"台北市","萬華區",NA,2279
"台南市","七股區",NA,3
"台南市","下營區",NA,1
"台南市","中西區",NA,17
"台南市","仁德區",NA,18
"台南市","佳里區",NA,11
"台南市","六甲區",NA,3
"台南市","北區",NA,31
"台南市","北門區",NA,2
"台南市","南區",NA,18
"台南市","善化區",NA,21
"台南市","大內區",NA,3
"台南市","學甲區",NA,1
"台南市","安南區",NA,50
"台南市","安定區",NA,7
"台南市","安平區",NA,16
"台南市","官田區",NA,5
"台南市","將軍區",NA,6
"台南市","山上區",NA,1
"台南市","後壁區",NA,4
"台南市","新化區",NA,1
"台南市","新市區",NA,11
"台南市","新營區",NA,37
"台南市","東區",NA,34
"台南市","東山區",NA,1
"台南市","柳營區",NA,7
"台南市","歸仁區",NA,21
"台南市","永康區",NA,82
"台南市","玉井區",NA,5
"台南市","白河區",NA,11
"台南市","西港區",NA,5
"台南市","鹽水區",NA,22
"台南市","麻豆區",NA,7
"台東縣","卑南鄉",NA,13
"台東縣","台東市",NA,53
"台東縣","太麻里鄉",NA,15
"台東縣","延平鄉",NA,2
"台東縣","成功鎮",NA,96
"台東縣","東河鄉",NA,3
"台東縣","池上鄉",NA,7
"台東縣","綠島鄉",NA,3
"台東縣","達仁鄉",NA,4
"台東縣","金峰鄉",NA,7
"台東縣","長濱鄉",NA,3
"台東縣","關山鎮",NA,1
"台東縣","鹿野鄉",NA,6
"嘉義市","東區",NA,16
"嘉義市","西區",NA,38
"嘉義縣","中埔鄉",NA,1
"嘉義縣","六腳鄉",NA,5
"嘉義縣","大林鎮",NA,39
"嘉義縣","太保市",NA,7
"嘉義縣","新港鄉",NA,1
"嘉義縣","朴子市",NA,3
"嘉義縣","東石鄉",NA,1
"嘉義縣","梅山鄉",NA,12
"嘉義縣","民雄鄉",NA,10
"嘉義縣","水上鄉",NA,19
"嘉義縣","溪口鄉",NA,3
"嘉義縣","竹崎鄉",NA,2
"嘉義縣","鹿草鄉",NA,4
"基隆市","七堵區",NA,146
"基隆市","中山區",NA,290
"基隆市","中正區",NA,433
"基隆市","仁愛區",NA,436
"基隆市","信義區",NA,394
"基隆市","安樂區",NA,398
"基隆市","暖暖區",NA,203
"宜蘭縣","三星鄉",NA,25
"宜蘭縣","五結鄉",NA,69
"宜蘭縣","冬山鄉",NA,94
"宜蘭縣","南澳鄉",NA,129
"宜蘭縣","員山鄉",NA,46
"宜蘭縣","壯圍鄉",NA,17
"宜蘭縣","大同鄉",NA,8
"宜蘭縣","宜蘭市",NA,149
"宜蘭縣","礁溪鄉",NA,54
