"縣市","Sum_Inter","Sum_Local"
"南投縣",1,1
"台中市",14,4
"台北市",38,2
"台南市",7,1
"基隆市",1,NA
"宜蘭縣",1,NA
"屏東縣",1,NA
"彰化縣",2,4
"新北市",27,13
"新竹市",4,NA
"新竹縣",1,NA
"桃園市",7,9
"苗栗縣",1,NA
"雲林縣",3,NA
"高雄市",11,NA
