EventName,EventDateTime,Magnitude,EQ_WGS84_Lon,EQ_WGS84_Lat,Depth,WGS84_Lon,WGS84_Lat,PGA,PGV,Intensity
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.035,23.055,3.37,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.035,23.08,3.66,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.035,23.105,3.96,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.035,23.13,4.2,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.03,2.97,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.055,3.27,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.08,3.61,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.105,3.97,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.13,4.31,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.155,4.53,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.06,23.18,4.5,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.03,2.78,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.055,3.1,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.08,3.47,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.105,3.89,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.13,4.34,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.155,4.73,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.18,4.62,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.205,4.23,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.23,3.85,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.255,3.5,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.28,3.19,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.085,23.305,2.91,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.005,2.28,0.1,1
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.03,2.52,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.055,2.83,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.08,3.2,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.105,3.63,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.13,4.11,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.155,4.59,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.18,4.42,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.205,3.98,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.23,3.59,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.255,3.24,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.28,2.94,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.305,2.67,0.1,2
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.33,2.45,0.1,1
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.355,2.25,0.1,1
高雄六龜地震,2022-04-12T12:15:00,4.6,120.64,22.91,17.3,120.11,23.48,1.71,0.1,1
