"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,31
"台中市",NA,171
"台北市",NA,3759
"台南市",NA,39
"台東縣",NA,22
"嘉義市",NA,9
"嘉義縣",NA,17
"基隆市",NA,218
"宜蘭縣",NA,87
"屏東縣",NA,33
"彰化縣",NA,237
"新北市",NA,5304
"新竹市",NA,30
"新竹縣",NA,38
"桃園市",NA,528
"澎湖縣",NA,5
"空值",1205,NA
"花蓮縣",NA,45
"苗栗縣",NA,357
"連江縣",NA,4
"雲林縣",NA,16
"高雄市",NA,61
