"MD_","type","ID","fname","圖徵NO","HYD類別","DataName","geometry","buildtime","releasetime","MataData_URL","MataData_XML","URL_data"
8,"KML","MD_ID=8&type=KML","ppobsta_wra_a",,,"雨量站位置圖_水利署_已廢站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=8&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=8&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=ppobsta_wra_a&filetype=KML"
9,"KML","MD_ID=9&type=KML","hyctide",,,"近海水文潮位站位置圖","點","2019/11/08","2019/12/11","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=9&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=9&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=hyctide&filetype=KML"
10,"KML","MD_ID=10&type=KML","hycw",,,"近海水文氣象站位置圖","點","2019/11/08","2019/12/11","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=10&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=10&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=hycw&filetype=KML"
11,"KML","MD_ID=11&type=KML","hycbuoy",,,"近海水文資料浮標站位置圖","點","2019/11/08","2019/12/11","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=11&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=11&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=hycbuoy&filetype=KML"
12,"KML","MD_ID=12&type=KML","rcrossec",,,"河川斷面線位置圖","線","2021/04/06","2021/04/08","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=12&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=12&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=rcrossec&filetype=KML"
13,"KML","MD_ID=13&type=KML","rvframe",,,"中央管河川圖框","面","2021/05/25","2021/05/26","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=13&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=13&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=rvframe&filetype=KML"
14,"KML","MD_ID=14&type=KML","drframe",,,"中央管排水圖框","面","2017/03/22","2020/05/22","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=14&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=14&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=drframe&filetype=KML"
15,"KML","MD_ID=15&type=KML","emframe",,,"一般性海堤圖框","面","2021/05/19","2021/05/24","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=15&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=15&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=emframe&filetype=KML"
16,"KML","MD_ID=16&type=KML","gwqmosta",,,"地下水水質監測站位置圖","點","2007/05/31","2008","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=16&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=16&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwqmosta&filetype=KML"
17,"KML","MD_ID=17&type=KML","gwobwell_e",,,"地下水觀測井位置圖_現存站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=17&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=17&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwobwell_e&filetype=KML"
