"id","name_id","name","time","city","level","level_web","longitude","latitude","created_at","updated_at"
2477916,58,"麒麟潭周邊","2020-05-05 09:20:00","南投縣","G","正常","120.77390000","23.75019000",NA,NA
2477917,59,"竹子湖海芋園周邊","2020-05-05 09:20:00","臺北市","G","正常","121.53530000","25.17597000",NA,NA
2477918,61,"田尾公路花園夜市周邊","2020-05-05 09:20:00","彰化縣","G","正常","120.53310000","23.89864000",NA,NA
2477919,62,"大甲第一市場、大甲蔣公路夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.62010000","24.34583000",NA,NA
2477920,63,"台北市立動物園周邊","2020-05-05 09:20:00","臺北市","G","正常","121.58900000","24.99069000",NA,NA
2477921,64,"蘇澳服務區周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.81440000","24.61948000",NA,NA
2477922,65,"北埔老街周邊","2020-05-05 09:20:00","新竹縣","G","正常","121.05890000","24.70293000",NA,NA
2477923,66,"國宅夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.19450000","23.04394000",NA,NA
2477924,67,"東港魅力商圈、東隆宮周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.45060000","22.46256000",NA,NA
2477925,68,"淡水老街周邊","2020-05-05 09:20:00","新北市","G","正常","121.44100000","25.17177000",NA,NA
2477926,69,"萬巒豬腳街周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.56680000","22.57580000",NA,NA
2477927,70,"礁溪溫泉公園周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.78120000","24.83633000",NA,NA
2477928,71,"梅花湖風景區周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.73060000","24.65151000",NA,NA
2477929,72,"太平風景區周邊","2020-05-05 09:20:00","嘉義縣","G","正常","120.60770000","23.56474000",NA,NA
2477930,73,"太平風景區周邊","2020-05-05 09:20:00","嘉義縣","G","正常","120.60280000","23.56022000",NA,NA
2477931,74,"內惟夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.27950000","22.66056000",NA,NA
2477932,75,"湖口夜市周邊","2020-05-05 09:20:00","新竹縣","G","正常","121.04910000","24.90157000",NA,NA
2477933,76,"大溪老街周邊","2020-05-05 09:20:00","桃園市","G","正常","121.28660000","24.88324000",NA,NA
2477934,77,"北港運動公園周邊","2020-05-05 09:20:00","雲林縣","G","正常","120.29910000","23.57269000",NA,NA
2477935,78,"安平老街(延平老街)周邊","2020-05-05 09:20:00","臺南市","G","正常","120.16070000","22.99862000",NA,NA
2477936,79,"枋山濱海遊憩區周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.66490000","22.24187000",NA,NA
2477937,80,"台中秀泰廣場站前店S1館、台中火車站周邊","2020-05-05 09:20:00","臺中市","G","正常","120.68960000","24.13831000",NA,NA
2477938,81,"車埕老街周邊","2020-05-05 09:20:00","南投縣","G","正常","120.86700000","23.83608000",NA,NA
2477939,82,"安平漁港周邊","2020-05-05 09:20:00","臺南市","G","正常","120.15100000","22.98953000",NA,NA
2477940,83,"深坑老街周邊","2020-05-05 09:20:00","新北市","G","正常","121.61380000","25.00414000",NA,NA
2477941,85,"旗山轉運站周邊","2020-05-05 09:20:00","高雄市","G","正常","120.48300000","22.88260000",NA,NA
2477942,86,"鹿港老街周邊","2020-05-05 09:20:00","彰化縣","G","正常","120.43420000","24.05632000",NA,NA
2477943,87,"淡水老街周邊","2020-05-05 09:20:00","新北市","G","正常","121.43610000","25.17178000",NA,NA
2477944,88,"七星潭海岸風景特定區周邊","2020-05-05 09:20:00","花蓮縣","G","正常","121.62870000","24.02447000",NA,NA
2477945,89,"台東成功漁港、成功夜市周邊","2020-05-05 09:20:00","臺東縣","G","正常","121.38030000","23.10423000",NA,NA
2477946,90,"苗栗鯉魚潭觀景台周邊","2020-05-05 09:20:00","苗栗縣","G","正常","120.78280000","24.33260000",NA,NA
2477947,91,"關西老街周邊","2020-05-05 09:20:00","新竹縣","G","正常","121.17760000","24.79313000",NA,NA
2477948,92,"新屋漂流木公園周邊","2020-05-05 09:20:00","桃園市","G","正常","120.98970000","24.94220000",NA,NA
2477949,93,"莿桐夜市周邊","2020-05-05 09:20:00","雲林縣","G","正常","120.49430000","23.75856000",NA,NA
2477950,94,"草屯太平路商圈周邊","2020-05-05 09:20:00","南投縣","G","正常","120.68510000","23.98029000",NA,NA
2477951,95,"七堵南興菜市場周邊","2020-05-05 09:20:00","基隆市","G","正常","121.71340000","25.09848000",NA,NA
2477952,96,"南方澳周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.86350000","24.58310000",NA,NA
2477953,97,"飛牛牧場周邊","2020-05-05 09:20:00","苗栗縣","G","正常","120.73820000","24.44088000",NA,NA
2477954,98,"文心森林公園周邊","2020-05-05 09:20:00","臺中市","G","正常","120.64530000","24.14725000",NA,NA
2477955,99,"台北市立動物園周邊","2020-05-05 09:20:00","臺北市","G","正常","121.58400000","24.99523000",NA,NA
2477956,100,"埔里老街周邊","2020-05-05 09:20:00","南投縣","G","正常","120.97010000","23.96255000",NA,NA
2477957,101,"鯉魚山觀景台周邊","2020-05-05 09:20:00","花蓮縣","G","正常","121.52010000","23.91652000",NA,NA
2477958,102,"瑞芳火車站周邊","2020-05-05 09:20:00","新北市","G","正常","121.80770000","25.10703000",NA,NA
2477959,103,"旗山老街周邊","2020-05-05 09:20:00","高雄市","G","正常","120.48300000","22.88711000",NA,NA
2477960,104,"關子嶺周邊","2020-05-05 09:20:00","臺南市","G","正常","120.50570000","23.33870000",NA,NA
2477961,105,"虎頭埤周邊","2020-05-05 09:20:00","臺南市","G","正常","120.33610000","23.03557000",NA,NA
2477962,106,"虎頭埤周邊","2020-05-05 09:20:00","臺南市","G","正常","120.33120000","23.02652000",NA,NA
2477963,107,"烏山頭水庫","2020-05-05 09:20:00","臺南市","G","正常","120.36940000","23.21179000",NA,NA
2477964,108,"烏山頭水庫周邊","2020-05-05 09:20:00","臺南市","G","正常","120.37440000","23.19375000",NA,NA
2477965,109,"高雄興達港周邊","2020-05-05 09:20:00","高雄市","G","正常","120.19070000","22.87235000",NA,NA
2477966,110,"高雄興達港周邊","2020-05-05 09:20:00","高雄市","G","正常","120.19560000","22.87237000",NA,NA
2477967,111,"德元埤荷蘭村周邊","2020-05-05 09:20:00","臺南市","G","正常","120.33980000","23.27037000",NA,NA
2477968,112,"吉林夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.30880000","22.64714000",NA,NA
2477969,113,"埔里夜市周邊","2020-05-05 09:20:00","南投縣","G","正常","120.96030000","23.97158000",NA,NA
2477970,114,"三和夜市周邊","2020-05-05 09:20:00","新北市","G","正常","121.50010000","25.06325000",NA,NA
2477971,115,"花園夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.19960000","23.00785000",NA,NA
2477972,116,"小北觀光夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.20450000","23.00787000",NA,NA
2477973,117,"青草湖夜市周邊","2020-05-05 09:20:00","新竹市","G","正常","120.97980000","24.77066000",NA,NA
2477974,118,"蘆洲廟口夜市(得勝街夜市)周邊","2020-05-05 09:20:00","新北市","G","正常","121.47040000","25.08140000",NA,NA
2477975,119,"草鞋墩人文觀光夜市周邊","2020-05-05 09:20:00","南投縣","G","正常","120.68510000","23.98932000",NA,NA
2477976,120,"東海夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.59110000","24.18323000",NA,NA
2477977,122,"鳳山五甲自強夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.32850000","22.59304000",NA,NA
2477978,123,"凱旋觀光夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.31870000","22.59752000",NA,NA
2477979,124,"善化夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.29660000","23.12570000",NA,NA
2477980,127,"清大夜市周邊","2020-05-05 09:20:00","新竹市","G","正常","120.99960000","24.79775000",NA,NA
2477981,129,"文化路夜市周邊","2020-05-05 09:20:00","嘉義市","G","正常","120.45130000","23.47849000",NA,NA
2477982,130,"中華夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.67490000","24.14280000",NA,NA
2477983,133,"一中街夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.68470000","24.15185000",NA,NA
2477984,134,"瑞北夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.32840000","22.61110000",NA,NA
2477985,135,"大雅觀光夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.65500000","24.21950000",NA,NA
2477986,137,"清溝夜市周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.76030000","24.66491000",NA,NA
2477987,138,"中原夜市商圈周邊","2020-05-05 09:20:00","桃園市","G","正常","121.24220000","24.95555000",NA,NA
2477988,139,"東南夜市周邊","2020-05-05 09:20:00","雲林縣","G","正常","120.45000000","23.80355000",NA,NA
2477989,140,"桃園觀光夜市周邊","2020-05-05 09:20:00","桃園市","G","正常","121.30670000","25.00057000",NA,NA
2477990,141,"林園夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.39700000","22.50300000",NA,NA
2477991,142,"岡山夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.29830000","22.79610000",NA,NA
2477992,143,"鶯歌南雅路夜市周邊","2020-05-05 09:20:00","新北市","G","正常","121.35110000","24.95533000",NA,NA
2477993,144,"忠孝觀光夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.30890000","22.62005000",NA,NA
2477994,145,"屏東夜市周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.48870000","22.67039000",NA,NA
2477995,146,"華西街觀光夜市周邊","2020-05-05 09:20:00","臺北市","G","正常","121.50000000","25.04067000",NA,NA
2477996,147,"大社夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.35220000","22.72860000",NA,NA
2477997,149,"樺谷夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.19460000","23.02588000",NA,NA
2477998,150,"中壢區觀光夜市周邊","2020-05-05 09:20:00","桃園市","G","正常","121.21740000","24.96010000",NA,NA
2477999,151,"瑞光夜市周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.50320000","22.68850000",NA,NA
2478000,152,"武聖夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.18990000","23.00328000",NA,NA
2478001,153,"集集夜市周邊","2020-05-05 09:20:00","南投縣","G","正常","120.78360000","23.82696000",NA,NA
2478002,154,"六合觀光夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.30400000","22.63358000",NA,NA
2478003,155,"瑞豐夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.29890000","22.66516000",NA,NA
2478004,156,"樹林夜市周邊","2020-05-05 09:20:00","新北市","G","正常","121.42550000","24.99125000",NA,NA
2478005,157,"八方國際觀光夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.70410000","24.24669000",NA,NA
2478006,158,"永和樂華夜市周邊","2020-05-05 09:20:00","新北市","G","正常","121.50980000","25.00904000",NA,NA
2478007,159,"梧州街夜市、西昌夜市周邊","2020-05-05 09:20:00","臺北市","G","正常","121.50000000","25.03616000",NA,NA
2478008,162,"逢甲夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.64520000","24.17885000",NA,NA
2478009,163,"臺東觀光夜市周邊","2020-05-05 09:20:00","臺東縣","G","正常","121.14560000","22.75694000",NA,NA
2478010,165,"忠孝夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.68470000","24.12927000",NA,NA
2478011,166,"光華觀光夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.31860000","22.61558000",NA,NA
2478012,167,"羅東夜市周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.77030000","24.67840000",NA,NA
2478013,168,"興仁夜市周邊","2020-05-05 09:20:00","桃園市","G","正常","121.28180000","24.93291000",NA,NA
2478014,169,"新莊廟街夜市周邊","2020-05-05 09:20:00","新北市","G","正常","121.45040000","25.03181000",NA,NA
2478015,170,"復華夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.24350000","23.00806000",NA,NA
2478016,171,"東門夜市周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.75600000","24.75973000",NA,NA
2478017,172,"路竹夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.26390000","22.85464000",NA,NA
2478018,173,"同安夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.18970000","23.03940000",NA,NA
