"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,383
"南投縣","仁愛鄉",NA,1182
"南投縣","信義鄉",NA,1041
"南投縣","南投市",NA,5977
"南投縣","名間鄉",NA,1613
"南投縣","國姓鄉",NA,584
"南投縣","埔里鎮",NA,3509
"南投縣","水里鄉",NA,494
"南投縣","竹山鎮",NA,2624
"南投縣","草屯鎮",NA,4461
"南投縣","集集鎮",NA,278
"南投縣","魚池鄉",NA,333
"南投縣","鹿谷鄉",NA,541
"台中市","中區",NA,1471
"台中市","北區",NA,11686
"台中市","北屯區",NA,19347
"台中市","南區",NA,9196
"台中市","南屯區",NA,11898
"台中市","后里區",NA,3012
"台中市","和平區",NA,544
"台中市","外埔區",NA,1744
"台中市","大安區",NA,1086
"台中市","大甲區",NA,4763
"台中市","大肚區",NA,3942
"台中市","大里區",NA,15587
"台中市","大雅區",NA,7478
"台中市","太平區",NA,15021
"台中市","新社區",NA,927
"台中市","東勢區",NA,2268
"台中市","東區",NA,5958
"台中市","梧棲區",NA,6388
"台中市","沙鹿區",NA,8552
"台中市","清水區",NA,6893
"台中市","潭子區",NA,7321
"台中市","烏日區",NA,6066
"台中市","石岡區",NA,619
"台中市","神岡區",NA,4564
"台中市","西區",NA,7697
"台中市","西屯區",NA,18854
"台中市","豐原區",NA,9800
"台中市","霧峰區",NA,5090
"台中市","龍井區",NA,6066
"台北市","中山區",NA,25077
"台北市","中正區",NA,13090
"台北市","信義區",NA,24866
"台北市","內湖區",NA,28236
"台北市","北投區",NA,29738
"台北市","南港區",NA,14607
"台北市","士林區",NA,29507
"台北市","大同區",NA,15317
"台北市","大安區",NA,23828
"台北市","文山區",NA,29649
"台北市","松山區",NA,18329
"台北市","萬華區",NA,30130
"台南市","七股區",NA,878
"台南市","下營區",NA,888
"台南市","中西區",NA,4427
"台南市","仁德區",NA,6096
"台南市","佳里區",NA,2936
"台南市","六甲區",NA,1029
"台南市","北區",NA,8766
"台南市","北門區",NA,248
"台南市","南化區",NA,180
"台南市","南區",NA,8819
"台南市","善化區",NA,3627
"台南市","大內區",NA,355
"台南市","學甲區",NA,1009
"台南市","安南區",NA,14136
"台南市","安定區",NA,1917
"台南市","安平區",NA,4433
"台南市","官田區",NA,1049
"台南市","將軍區",NA,598
"台南市","山上區",NA,564
"台南市","左鎮區",NA,241
"台南市","後壁區",NA,775
"台南市","新化區",NA,3041
"台南市","新市區",NA,3220
"台南市","新營區",NA,4349
"台南市","東區",NA,10645
"台南市","東山區",NA,591
"台南市","柳營區",NA,1349
"台南市","楠西區",NA,231
"台南市","歸仁區",NA,4656
"台南市","永康區",NA,20796
"台南市","玉井區",NA,487
"台南市","白河區",NA,725
"台南市","西港區",NA,1270
"台南市","關廟區",NA,2557
"台南市","鹽水區",NA,1034
"台南市","麻豆區",NA,2409
