"縣市","鄉鎮","Sum_Local.x"
"南投縣","仁愛鄉",1
"南投縣","信義鄉",1
"南投縣","南投市",3
"南投縣","水里鄉",1
"南投縣","竹山鎮",2
"南投縣","草屯鎮",2
"台中市","中區",2
"台中市","北區",12
"台中市","北屯區",17
"台中市","南區",7
"台中市","南屯區",14
"台中市","后里區",3
"台中市","外埔區",2
"台中市","大甲區",5
"台中市","大里區",4
"台中市","大雅區",2
"台中市","太平區",12
"台中市","東勢區",1
"台中市","東區",2
"台中市","梧棲區",7
"台中市","沙鹿區",7
"台中市","清水區",3
"台中市","潭子區",2
"台中市","烏日區",1
"台中市","神岡區",5
"台中市","西區",13
"台中市","西屯區",37
"台中市","豐原區",2
"台中市","霧峰區",2
"台中市","龍井區",8
"台北市","中山區",194
"台北市","中正區",71
"台北市","信義區",144
"台北市","內湖區",123
"台北市","北投區",118
"台北市","南港區",47
"台北市","士林區",130
"台北市","大同區",122
"台北市","大安區",135
"台北市","文山區",124
"台北市","松山區",91
"台北市","萬華區",142
"台南市","七股區",1
"台南市","仁德區",4
"台南市","佳里區",2
"台南市","六甲區",1
"台南市","北區",2
"台南市","南區",3
"台南市","善化區",2
"台南市","安南區",1
"台南市","安平區",3
"台南市","新化區",1
"台南市","新市區",3
"台南市","新營區",1
"台南市","東區",7
"台南市","歸仁區",1
"台南市","永康區",7
"台南市","玉井區",1
"台南市","白河區",1
"台南市","西港區",5
"台南市","麻豆區",1
"台東縣","卑南鄉",5
"台東縣","台東市",15
"台東縣","成功鎮",11
"台東縣","東河鄉",1
"台東縣","池上鄉",1
"台東縣","海端鄉",1
"嘉義市","東區",4
"嘉義市","西區",14
"嘉義縣","太保市",9
"嘉義縣","民雄鄉",1
"嘉義縣","水上鄉",1
"嘉義縣","竹崎鄉",1
"基隆市","七堵區",32
"基隆市","中山區",33
"基隆市","中正區",50
"基隆市","仁愛區",59
"基隆市","信義區",51
"基隆市","安樂區",68
"基隆市","暖暖區",21
"宜蘭縣","三星鄉",6
"宜蘭縣","五結鄉",7
"宜蘭縣","冬山鄉",10
"宜蘭縣","南澳鄉",16
"宜蘭縣","員山鄉",2
"宜蘭縣","壯圍鄉",5
"宜蘭縣","大同鄉",5
"宜蘭縣","宜蘭市",13
"宜蘭縣","礁溪鄉",14
"宜蘭縣","羅東鎮",12
"宜蘭縣","蘇澳鎮",14
"宜蘭縣","頭城鎮",17
"屏東縣","九如鄉",2
"屏東縣","屏東市",8
"屏東縣","崁頂鄉",3
"屏東縣","恆春鎮",1
"屏東縣","東港鎮",10
"屏東縣","泰武鄉",1
"屏東縣","琉球鄉",1
"屏東縣","萬巒鄉",1
"屏東縣","里港鄉",5
"屏東縣","長治鄉",1
"屏東縣","鹽埔鄉",2
"彰化縣","二林鎮",1
"彰化縣","北斗鎮",2
"彰化縣","和美鎮",7
"彰化縣","員林市",10
"彰化縣","埔鹽鄉",2
"彰化縣","埤頭鄉",3
"彰化縣","大村鄉",1
"彰化縣","彰化市",16
"彰化縣","永靖鄉",2
"彰化縣","溪湖鎮",2
"彰化縣","田中鎮",1
"彰化縣","福興鄉",1
"彰化縣","秀水鄉",1
"彰化縣","線西鄉",1
"彰化縣","花壇鄉",1
"彰化縣","鹿港鎮",4
"新北市","三峽區",54
"新北市","三重區",224
"新北市","中和區",265
"新北市","五股區",58
"新北市","八里區",8
"新北市","土城區",89
"新北市","新店區",145
"新北市","新莊區",329
"新北市","板橋區",303
"新北市","林口區",34
"新北市","樹林區",89
"新北市","永和區",109
"新北市","汐止區",111
"新北市","泰山區",33
"新北市","淡水區",76
"新北市","深坑區",13
"新北市","烏來區",1
"新北市","瑞芳區",46
"新北市","石碇區",1
"新北市","石門區",1
"新北市","萬里區",5
"新北市","蘆洲區",67
"新北市","貢寮區",12
"新北市","金山區",3
"新北市","雙溪區",5
"新北市","鶯歌區",62
"新竹市","北區",14
"新竹市","東區",17
"新竹市","香山區",16
"新竹縣","尖石鄉",1
"新竹縣","新埔鎮",2
"新竹縣","新豐鄉",3
"新竹縣","湖口鄉",8
"新竹縣","竹北市",21
"新竹縣","竹東鎮",19
"新竹縣","芎林鄉",1
"新竹縣","關西鎮",1
"桃園市","中壢區",140
"桃園市","八德區",100
"桃園市","大園區",11
"桃園市","大溪區",25
"桃園市","平鎮區",43
"桃園市","復興區",12
"桃園市","新屋區",3
"桃園市","桃園區",283
"桃園市","楊梅區",43
"桃園市","蘆竹區",69
"桃園市","觀音區",12
"桃園市","龍潭區",17
"桃園市","龜山區",554
"澎湖縣","馬公市",1
"花蓮縣","光復鄉",3
"花蓮縣","卓溪鄉",1
"花蓮縣","吉安鄉",70
"花蓮縣","壽豐鄉",3
"花蓮縣","新城鄉",17
"花蓮縣","玉里鎮",7
"花蓮縣","瑞穗鄉",3
"花蓮縣","秀林鄉",22
"花蓮縣","花蓮市",49
"花蓮縣","萬榮鄉",2
"苗栗縣","三義鄉",4
"苗栗縣","南庄鄉",1
"苗栗縣","泰安鄉",2
"苗栗縣","竹南鎮",4
"苗栗縣","苑裡鎮",1
