"縣市","Sum_Inter","Sum_Local"
"南投縣",NA,15
"台中市",NA,76
"台北市",NA,2145
"台南市",NA,22
"台東縣",NA,7
"嘉義市",NA,5
"嘉義縣",NA,1
"基隆市",NA,97
"宜蘭縣",NA,61
"屏東縣",NA,26
"彰化縣",NA,128
"新北市",NA,2628
"新竹市",NA,15
"新竹縣",NA,16
"桃園市",NA,264
"空值",1176,NA
"花蓮縣",NA,12
"苗栗縣",NA,9
"連江縣",NA,3
"雲林縣",NA,10
"高雄市",NA,44
